name	exp_beta	exp_se	out_beta	out_se	exp_z	out_z	exp_pvalue	out_pvalue	exp_pvalue_FDR	out_pvalue_FDR	database	ngenes_tscore	ngenes_path	genes_path	tissue	exposure	name_outcome	class_path
Antigen processing-Cross presentation	-0.00021050309932777	4.71287333992526e-05	-0.000326437927094607	8.60717704217148e-05	-4.46655541417773	-3.79262475368174	7.9489079573653e-06	0.00014906332157107	0.00160567940738779	0.022865015724049	Reactome	14	101	PSMB4,ITGB5,HLA-G,HLA-H,HLA-A,HLA-C,HLA-B,TAP2,TAPBP,MRC1,PSMD13,TIRAP,PSME2,PSMB3	Artery_Coronary	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	CAD_HARD	1_Artery_Coronary_41270_I10_CAD_HARD
DAP12 interactions	-9.02327591281958e-05	2.39719279144853e-05	-0.000109003392631757	4.38311955633619e-05	-3.76410105395285	-2.48689070035023	0.000167149284698963	0.0128864983555781	0.0077917281944286	0.163035345042107	Reactome	4	44	HLA-C,HLA-B,SIGLEC14,SIRPB1	Artery_Coronary	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	CAD_HARD	1_Artery_Coronary_41270_I10_CAD_HARD
signaling receptor binding	-0.000211788548617853	6.29975881783784e-05	-0.000311001869402492	0.000114995754968702	-3.3618516953089	-2.70446391249082	0.000774216934426209	0.00684147004726961	0.0208232965647274	0.161518537485338	GO	22	325	GSTM2,FASLG,TDGF1,ITGB5,PKD2,AMACR,C1QTNF2,HLA-G,HLA-A,HLA-C,HLA-B,LTB,CAT,P2RX4,ARPP19,SLC9A3R2,TNFSF13,NOS2,WNT3,ICAM3,NUDT19,EML2	Artery_Coronary	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	CAD_HARD	1_Artery_Coronary_41270_I10_CAD_HARD
immune response	-0.000348806713188327	6.93808596958334e-05	-0.000292542103715435	0.00012659062711083	-5.02741987801103	-2.31093020385558	4.97123082780303e-07	0.0208367104205058	0.000125689286096287	0.252791807486848	GO	27	369	TGFBR3,FASLG,LY75,CXCL2,HLA-G,HLA-A,HLA-C,HLA-B,MICA,MICB,LTB,HLA-DRB5,HLA-DRB1,HLA-DQA1,HLA-DQB1,HLA-DQA2,HLA-DQB2,HLA-DOB,HLA-DPA1,HLA-DPB1,TAPBP,BMPR1A,CTSW,TNFSF13,CRHR1,CST7,BPI	Artery_Coronary	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	CAD_HARD	1_Artery_Coronary_41270_I10_CAD_HARD
regulation of immune response	-0.000141235771809686	3.51213246707087e-05	-0.000147614569524587	6.40845398405221e-05	-4.02136801882867	-2.30343496094275	5.78611242065808e-05	0.0212543825946464	0.00365730522589096	0.252791807486848	GO	10	91	HLA-G,HLA-A,HLA-C,HLA-B,MICA,MICB,KLRG1,TNFSF13,ICAM3,ITGB2	Artery_Coronary	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	CAD_HARD	1_Artery_Coronary_41270_I10_CAD_HARD
Cristae formation	8.84620785805953e-05	2.34761628102134e-05	6.39514108912646e-05	4.28777176803568e-05	3.76816600292571	1.49148355721746	0.000164451331755599	0.135834585020837	0.0077917281944286	0.433720240997963	Reactome	3	31	IMMT,ATP5G3,ATP5J2	Artery_Coronary	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	CAD_HARD	2_Artery_Coronary_41270_I10_CAD_HARD
G2/M Checkpoints	-0.000200527186788769	5.59680660471919e-05	-0.000213322008728289	0.00010220254204581	-3.58288575881264	-2.08724758169588	0.000339819249079134	0.0368657603935334	0.0128706540588722	0.273676427231683	Reactome	17	151	PSMB4,CDC25A,RNF8,ORC3,ORC5,WRN,NBN,YWHAZ,DNA2,PSMD13,RFC5,PSME2,TP53BP1,TOP3A,PSMB3,YWHAB,GTSE1	Artery_Coronary	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	CAD_HARD	3_Artery_Coronary_41270_I10_CAD_HARD
nucleoplasm	-0.00050484917606598	0.000127436051125831	-0.000569161749591014	0.000232712219172215	-3.96158835436207	-2.44577509344197	7.44528210536323e-05	0.0144541134354487	0.0037128650955263	0.223743776342608	GO	86	1019	DFFA,NUDC,NFYC,ITGB3BP,PSMB4,ESRRG,H3F3A,NRBP1,POLR1A,REV1,PAX8,ERCC3,CDC25A,GNL3,SENP5,ANAPC4,NUP54,CCRN4L,HMGB2,CCNO,TAF9,DHFR,NOTCH4,MED20,CENPQ,MYO6,ORC3,SRSF12,ORC5,WRN,NBN,YWHAZ,ZFPM2,DSCC1,CPSF1,CENPP,CDC26,PRPF4,SURF6,SNAPC4,MASTL,DNA2,CASP7,MGMT,PSMD13,RRM1,POLR2G,MED17,MRE11A,HINFP,RAD52,TEAD4,DDX11,ATF1,SP1,SMUG1,STAT6,YEATS4,RFC5,STK24,CDC16,PSME2,CPSF2,TP53BP1,ARPP19,CIB1,RPS2,RBL2,ACD,DHX33,TNFSF13,LIG3,PSMB3,MED24,STAT3,EFTUD2,CBX1,POLI,CTDP1,TXNL4A,NOTCH3,TRIM28,PCNA,NCOA6,NELFCD,MED15	Artery_Coronary	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	CAD_HARD	3_Artery_Coronary_41270_I10_CAD_HARD
Initial triggering of complement	-0.000104747188128525	2.26925035905761e-05	-6.59793208469424e-05	4.13768266398307e-05	-4.61593793344273	-1.59459596602869	3.91323895964229e-06	0.110802615271006	0.00118571140477161	0.394978734436646	Reactome	3	103	C4A,C4B,IGLC7	Artery_Coronary	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	CAD_HARD	4_Artery_Coronary_41270_I10_CAD_HARD
innate immune response	-0.000241250918135662	8.05607371994414e-05	-0.00018069735104927	0.000147107324889861	-2.99464635655463	-1.2283368702718	0.00274763202481379	0.219320535587394	0.0417228355245748	0.641058289953904	GO	38	609	BCL10,CTSK,THEM4,C4BPB,IRAK2,TEC,CFI,FAM105B,HLA-C,HLA-B,C4A,C4B,FGF17,TRIM32,SFTPD,IFIT5,TRIM21,UNC93B1,PAK1,MRE11A,TIRAP,KLRG1,ITPR2,ATF1,STAT6,PRKD1,PHLPP2,MAP2K4,DHX58,TBKBP1,PRKAR1A,SIGLEC14,SIRPB1,YWHAB,MX1,ITGB2,APOBEC3A,APOBEC3G	Artery_Coronary	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	CAD_HARD	4_Artery_Coronary_41270_I10_CAD_HARD
Vitamins B6 activation to pyridoxal phosphate	-9.05132502965792e-05	1.91931564403338e-05	-6.91125056306333e-05	3.50342646173676e-05	-4.71591270450799	-1.97271175477655	2.40629596970416e-06	0.0485284119551081	0.00118571140477161	0.305268848784033	Reactome	2	3	PNPO,PDXK	Artery_Coronary	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	CAD_HARD	5_Artery_Coronary_41270_I10_CAD_HARD
spindle pole	-0.000181101492177809	4.51731897236999e-05	-0.00025703401256433	8.24315846816412e-05	-4.00904813863066	-3.11814959711159	6.0963989065985e-05	0.00181990403349258	0.00369929485652397	0.0862748255877575	GO	11	90	CEP63,CEP19,KIF2A,RGS14,DDX11,CKAP2,KNSTRN,FBF1,CTDP1,HAUS8,FAM83D	Artery_Coronary	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	CAD_HARD	6_Artery_Coronary_41270_I10_CAD_HARD
regulation of protein phosphorylation	-0.000120874694666711	3.03850536244657e-05	-0.000195125080771506	5.54925855040204e-05	-3.97809713159052	-3.51623697110615	6.94689943165204e-05	0.000437710121032749	0.0037128650955263	0.0509832242847983	GO	5	34	DVL1,FER,FLCN,TADA2A,PRKAR1A	Artery_Coronary	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	CAD_HARD	7_Artery_Coronary_41270_I10_CAD_HARD
positive regulation of neuron projection development	-9.22864959781213e-05	2.35612061048876e-05	-6.86126772845717e-05	4.30484796103719e-05	-3.91688335339408	-1.59384670273095	8.97011243905719e-05	0.110970374250934	0.00412353350607569	0.487565175584847	GO	3	62	DVL1,ATF1,PRKD1	Artery_Coronary	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	CAD_HARD	7_Artery_Coronary_41270_I10_CAD_HARD
nucleic acid binding	-0.000654053734798926	0.000131345557378948	-0.00104940887725532	0.000239898016585266	-4.97964109217566	-4.37439580448692	6.37022978873259e-07	1.21769267108224e-05	0.000138051979850105	0.0184723978203176	GO	94	1115	PPIE,TRIT1,HFM1,PTBP2,DDX59,ZNF124,ZNF496,DDX1,DHX57,ERCC3,RBM44,ARPP21,ZNF589,RBM6,ZNF717,ZXDC,XRN1,TIGD2,CNOT8,ZNF454,ZNF391,ZFP57,SKIV2L,RPS18,SRSF12,PNLDC1,EIF3B,RP9,ZNF713,ZNF273,THAP5,SND1,PINX1,WRN,ZFPM2,CPSF1,ZNF34,NFX1,DDX31,REXO4,ZNF33B,SUPV3L1,ZNF195,NARS2,DDX10,CHD4,DDX11,EIF4B,RBMS2,DDX55,HNRNPA1L2,RBM23,RBM25,TDRD9,ZNF213,TIGD7,ZNF500,ZKSCAN2,ZCCHC14,SPAG7,DHX33,TOP3A,TEFM,DHX58,DBF4B,ZNF519,ZNF266,ZNF763,ZNF626,ZNF493,ZNF429,ZNF100,ZNF257,ZNF724P,ZNF507,ZNF780A,ZNF575,DHX34,ZNF577,ZNF766,ZNF880,ZNF528,ZNF534,ZNF471,ZFP28,ZNF772,ZNF814,ZNF587,ZNF417,ZNF584,ZNF132,ZNF337,ZNF334,FAM118A	Artery_Coronary	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	CAD_HARD	8_Artery_Coronary_41270_I10_CAD_HARD
RNA binding	-0.000323224820166644	9.37656143511064e-05	-0.00057534010036679	0.000171264114759879	-3.44715728045385	-3.35937333500042	0.000566518672460287	0.000781194537773672	0.0175389556351481	0.0628349681213614	GO	48	648	PPIE,NSUN4,PTBP2,DDX59,THUMPD2,ZC3H8,RBM44,HDLBP,THUMPD3,RBM6,PCBP4,XRN1,RPL9,CNOT8,FBLL1,SKIV2L,RPS18,SRSF12,EIF3B,TRIM32,RPL12,DDX31,SURF6,LARP4B,BICC1,SUPV3L1,IFIT5,TRUB1,TRIM21,POLR2G,MRPL21,DDX10,DDX11,EIF4B,RBMS2,DDX55,HNRNPA1L2,RBM23,CPSF2,DIS3L,RPS2,EXOSC6,ADAT1,MPHOSPH6,DHX34,RPS9,THOC5,APOBEC3G	Artery_Coronary	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	CAD_HARD	8_Artery_Coronary_41270_I10_CAD_HARD
DNA-directed 5'-3' RNA polymerase activity	-9.16613300334623e-05	3.03378442550888e-05	-0.000116455624955349	5.54121735197764e-05	-3.02135277848844	-2.10162528480834	0.00251647980870642	0.0355861131586296	0.0401842091558699	0.310253641733569	GO	5	39	POLR1A,MED20,POLR2G,RPAP1,CTDP1	Artery_Coronary	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	CAD_HARD	9_Artery_Coronary_41270_I10_CAD_HARD
