name	exp_beta	exp_se	out_beta	out_se	exp_z	out_z	exp_pvalue	out_pvalue	exp_pvalue_FDR	out_pvalue_FDR	database	ngenes_tscore	ngenes_path	genes_path	tissue	exposure	name_outcome	class_path
Metabolism of RNA	-0.000153818789860205	5.58400690280263e-05	-0.000200883609238326	0.000243945981965112	-2.75463108369373	-0.823475785992064	0.00587616818900127	0.410237481418412	0.0299015140756774	0.841405446582661	Reactome	99	716	EXOSC10,LSM10,SF3A3,PPIE,TRIT1,NSUN4,ZCCHC11,TYW3,SMG5,SNRPE,DDX1,TRMT61B,GCFC2,ERCC3,POLR2D,PPIL3,TRNT1,RPSA,RPL29,TRMT44,RPL9,CNOT6L,NSUN2,PPWD1,UTP15,RPS23,WDR36,CNOT8,GEMIN5,RIOK1,SKIV2L,RPS18,RPL10A,MTO1,RNGTT,PSMB1,NUPL2,LSM5,TYW1,POM121C,YWHAZ,CPSF1,RPL8,ZCCHC6,PSMB7,RPL12,URM1,GLE1,TRDMT1,NSUN6,RPS24,PSMD13,GTF2H1,TRMT112,SF3B2,RPS3,CWC15,PUS3,WBP11,EIF4B,RPS26,NUP107,POP5,GTF2H3,UPF3A,OSGEP,RPL36AL,CPSF2,SNRPN,NOP10,RPS27L,SNUPN,SNRNP25,RPS2,EXOSC6,ADAT1,MPHOSPH6,RPL13,TSR1,ELAC2,SNORD3A,PSMB3,NT5C3B,SMG8,FTSJ3,NUP85,CSNK1D,TXNL4A,RPS28,UBA52,U2AF1L4,FBL,RPS9,PSMF1,CRNKL1,YWHAB,CSTF1,THOC5,RRP7A	Adipose_Visceral_Omentum	C-reactive protein (30710)	CAD_HARD	1_Adipose_Visceral_Omentum_30710_CAD_HARD
RNA binding	-0.000382837390072088	5.16460545149712e-05	-0.000338021631583418	0.000225673495125668	-7.41271320079466	-1.49783487597951	1.24045502368785e-13	0.134176157121582	1.25342341711731e-11	0.67482714317031	GO	82	648	EXOSC10,PABPC4,PPIE,NSUN4,RTCA,TDRKH,TDRD10,DDX59,SNRPE,SRP9,LRPPRC,BARD1,RBM44,HDLBP,TRNT1,THUMPD3,RBM6,RPL29,RPL9,DROSHA,CNOT8,FBLL1,ABT1,SKIV2L,RPS18,RPL10A,KHDRBS2,SYNJ2,EIF3B,LSM5,IMPDH1,ZC3HAV1,RPL8,NOL8,TRIM32,RPL12,DDX31,SURF6,ADARB2,CELF2,TRDMT1,NSUN6,IFIT5,RBM20,MRPL21,IGHMBP2,RPS3,CWC15,PUS3,DDX25,CAPRIN2,DDX11,ENDOU,EIF4B,RBM19,OASL,DDX55,HNRNPA1L2,UPF3A,RBM23,NOP9,CPSF2,SNRPN,DIS3L,RPS2,EXOSC6,ADAT1,MPHOSPH6,ADAD2,RPL13,MRPS7,U2AF1L4,FBL,PPP5C,DHX34,RPS9,CRNKL1,CSTF1,PCBP3,THOC5,APOBEC3G,RRP7A	Adipose_Visceral_Omentum	C-reactive protein (30710)	CAD_HARD	1_Adipose_Visceral_Omentum_30710_CAD_HARD
Post-translational protein modification	-0.000279072110087326	7.16179996018941e-05	-0.000237733600461794	0.0003132010979443	-3.8966755793043	-0.759044594741722	9.75420400541656e-05	0.447825880710503	0.0014540356747268	0.862155356939012	Reactome	160	1354	PEX14,OTUD3,MUL1,CD52,SCMH1,PCSK9,MYSM1,FPGT,TTLL7,RWDD3,RAB13,SPTA1,PIGC,SERPINC1,EDEM3,MDM4,CD55,CNIH3,RNF144A,LTBP1,MCFD2,MOGS,GGCX,UGGT1,THSD7B,LYPD6B,BARD1,SUMF1,GALNT15,CDC25A,RNF123,RFT1,ACTR8,GOLGB1,SEC22A,A4GNT,MUC4,SENP5,PIGZ,BST1,DCAF16,UCHL1,SRD5A3,UBA6,SPP1,VDAC1,GALNT10,RAB24,HIST1H2BJ,HLA-A,HLA-B,C4A,MDGA1,MAP3K7,MANEA,VNN1,VNN2,THBS2,PSMB1,KDELR2,C1GALT1,NUPL2,SUMF2,POM121C,ASB4,LAMB1,COPG2,SSPO,DCTN6,WRN,POLB,PENK,RAD21,VCP,STX17,PSMB7,PPP6C,POMT1,ADAMTS13,TUBB4B,TUBB8,ASB13,RAB18,TNKS2,BET1L,PSMD13,GALNT18,SPON1,CD59,ARRB1,RAB38,BIRC3,TRAPPC4,NFRKB,RAD52,PHC1,ALG10,ASB8,TUBA1C,USP15,NUP107,SOCS2,MLEC,ALG5,COG6,ALG11,DNAJC3,UGGT2,F10,SCFD1,LRR1,MGAT2,RAB15,DCAF4,TTLL5,CALM1,ATXN3,BTBD6,SPTBN5,PIGB,PIAS1,BTBD1,RPS2,DCTN5,INO80E,RNF40,MBTPS1,RPA1,RTN4RL1,GOSR1,PEX12,PSMB3,RAB5C,ASB16,NUP85,ST6GALNAC2,CBX8,CSNK1D,FN3KRP,USP14,NAPG,INO80C,GALNT1,TPGS2,PIGN,UBA52,CHST8,FBXO27,TRAPPC6A,TFPT,PSMF1,NAPB,PIGT,NEURL2,CTSZ,PIGP,UBE2G2,POFUT2,SERPIND1,ARSA	Adipose_Visceral_Omentum	C-reactive protein (30710)	CAD_HARD	2_Adipose_Visceral_Omentum_30710_CAD_HARD
lysosome	0.000121879680109774	3.47460982875806e-05	0.000249558671589128	0.000151920341135534	3.50772276936021	1.64269425492198	0.000452022004603225	0.100446208050817	0.00448591480461147	0.611867789044475	GO	37	198	PPT1,PCSK9,DRAM2,C1orf85,TMEM9,HYAL3,HYAL2,FGFR3,NAAA,AGA,SLC36A1,HLA-DRA,HLA-DOB,CTSB,GGH,SNX16,MARCH8,SFTPD,LIPA,CAT,ACP2,TPCN2,DRAM1,PLBD2,GALC,CTSH,DOC2A,CTNS,USP6,TMEM97,ABCA5,GAA,NPC1,ANKRD27,CTSZ,HPS4,ARSA	Adipose_Visceral_Omentum	C-reactive protein (30710)	CAD_HARD	3_Adipose_Visceral_Omentum_30710_CAD_HARD
plasma membrane	-0.000442666896354774	0.000103775166629564	-0.000635430824133477	0.000453926314762085	-4.26563416597458	-1.39985456552904	1.99392579005312e-05	0.161556873970874	0.000321195437049861	0.696272711955051	GO	353	3530	CLCNKA,HSPG2,XKR8,SLC6A9,SLC5A9,TACSTD2,SGIP1,SLC44A5,SLC44A3,CELSR2,AMIGO1,KCNC4,CHD1L,SETDB1,THEM4,S100A16,RAB13,RIT1,FCRL5,FCRL3,VANGL2,TNFSF18,SERPINC1,PKP1,RAB7L1,C4BPB,C4BPA,CD55,NSL1,KCNK2,OR2W3,KCNS3,ATRAID,RASGRP3,LHCGR,RTN4,WDPCP,VAMP8,PROM2,CNNM3,CNGA3,MERTK,PSD4,STEAP3,GPR17,LYPD6B,PKP4,ITGB6,CYBRD1,SLC40A1,STK17B,NGEF,CAPN10,ANO7,HDLBP,SEPT2,SLC6A1,PLCD1,RPSA,PRKAR2A,HYAL2,PXK,SLC9C1,CD80,GPR156,HCLS1,ITGB5,SLC41A3,PLXNA1,PLSCR4,P2RY12,LPP,SLC51A,DGKQ,SLC26A1,CRIPAK,FGFR3,FAM193A,BST1,UCHL1,CNGA1,SRP72,GNRHR,ANXA3,PTPN13,SLC10A6,MGST2,GYPE,KLKB1,SLC9A3,OCLN,MAP1B,FCHO2,F2R,VDAC1,PCDHA4,PCDHB8,PCDHB16,PCDHB11,PCDHB12,PCDHGA2,PCDHGA6,SH3TC2,SLC36A1,MFAP3,RGS14,EXOC2,LY86,BTN3A2,HLA-G,HLA-A,HLA-C,HLA-B,MICA,MICB,SLC44A4,C4A,NOTCH4,HLA-DRA,HLA-DRB5,HLA-DRB1,HLA-DQA1,HLA-DQB1,HLA-DQA2,HLA-DQB2,TAP2,HLA-DPA1,HLA-DPB1,HSD17B8,SLC26A8,TREM1,PAQR8,MAP3K7,BVES,SMPD2,SLC22A16,SERINC1,VNN1,VNN2,EPM2A,AKAP12,PRKAR1B,GNA12,DAGLB,ARL4A,KLHL7,CRHR2,TRGV3,ZP3,UPK3B,PTPN12,GNAT3,STEAP2,TRIM4,PILRA,CLDN15,SH2B2,ZC3HAV1,TAS2R4,SGCZ,ADRA1A,SDCBP,WWP1,MMP16,LYNX1,PLEC,VPS28,PDCD1LG2,DENND4C,AQP7,AQP3,TMEM8B,DIRAS2,HIATL1,CTNNAL1,LPAR1,SLC2A8,TUBB4B,TUBB8,CUBN,MRC1,APBB1IP,RAB18,PARD3,VCL,KCNMA1,DLG5,OPN4,BMPR1A,MYOF,PLCE1,ARL3,AFAP1L2,FGFR2,OR51E1,OR52N5,OR52N2,ILK,ABCC8,ANO5,SVIP,CD59,CAT,MADD,LPXN,KCNK7,DPP3,RHOD,ANKRD13D,PTPRCAP,MRGPRD,ARRB1,RAB38,CRYAB,CADM1,KIRREL3,IGSF9B,TNFRSF1A,TAPBPL,KLRG1,CLECL1,CLEC12A,CLEC12B,OLR1,KLRC2,TAS2R14,TAS2R50,TAS2R20,TAS2R19,TAS2R43,GUCY2C,C2CD5,TM7SF3,LRRK2,ENDOU,RAPGEF3,LMBR1L,ASIC1,KRT5,ITGA7,PMEL,ARHGEF25,B4GALNT1,GLIPR1,PHLDA1,SLC6A15,MRPL42,IGF1,STAB2,CORO1C,P2RX7,ATP6V0A2,MPHOSPH8,SPRY2,CLDN10,OXGR1,GPR18,IRS2,F10,UPF3A,LTB4R,ADCY4,SCFD1,MAP4K5,RAB15,GPHN,FLVCR2,CALM1,GPR132,CATSPER2,GLDN,NEDD4,CA12,DIS3L,ISLR2,CHRNA5,MTHFS,IQGAP1,RCCD1,RGS11,HMOX2,MGRN1,SLC5A11,RNF40,NFATC3,SPIRE2,MC1R,FAM57A,CRK,SRR,CTNS,CHRNE,USP6,CHRNB1,PMP22,ADORA2B,FLCN,SLC47A1,TMEM97,TBC1D3F,RAB5C,KCNH4,ADAM11,PLCD3,CRHR1,WNT3,ABCC3,CD300LD,CYTH1,CARD14,CSNK1D,USP14,GNAL,MIB1,NPC1,SLC14A1,PPAP2C,TMIGD2,FCER2,S1PR2,ICAM5,ICAM3,UBA52,LPAR2,SLC7A9,LSR,FFAR3,UPK1A,KCNK6,RABAC1,PRKD2,GRIN2D,IZUMO1,SIGLEC14,GP6,SIRPB1,SLC12A5,CD40,SULF2,CTSZ,CDH26,RGS19,IFNAR2,IL10RB,TMEM50B,TRPM2,COMT,PI4KA,SNAP29,SSTR3,PARVG,PKDREJ,ARSA	Adipose_Visceral_Omentum	C-reactive protein (30710)	CAD_HARD	4_Adipose_Visceral_Omentum_30710_CAD_HARD
inflammatory response	0.000101654453392053	3.33734985168105e-05	0.000164809719970793	0.000145891060727384	3.04596335145532	1.12967661725869	0.00231955060390352	0.258612513520236	0.0171307674168689	0.763648757424967	GO	34	309	NMI,LY75,ITGB6,HYAL3,PXK,SPP1,F2R,NDST1,IRGM,LY86,C4A,VNN1,AOAH,EPHX2,PLGRKT,ALOX5,LIPA,AFAP1L2,CHST1,NFRKB,TNFRSF1A,KLRG1,OLR1,LYZ,LTA4H,P2RX7,LTB4R,NFATC3,IL34,NOS2,CYP4F11,PLA2G4C,CD40,IL10RB	Adipose_Visceral_Omentum	C-reactive protein (30710)	CAD_HARD	5_Adipose_Visceral_Omentum_30710_CAD_HARD
immune response	-0.000201797568577591	3.25634509712854e-05	-0.000369433790835856	0.000142290832103568	-6.19705720857217	-2.59632883843816	5.75986644513097e-10	0.0094225838539341	2.72429427819705e-08	0.270508619093964	GO	38	369	XCL2,TNFSF18,LY75,TNFSF10,HLA-G,HLA-A,HLA-C,HLA-B,MICA,MICB,HLA-DRA,HLA-DRB5,HLA-DRB1,HLA-DQA1,HLA-DQB1,HLA-DQA2,HLA-DQB2,HLA-DOB,HLA-DPA1,HLA-DPB1,TAPBP,TRGV3,DEFB1,PDCD1LG2,BMPR1A,CTSW,ENDOU,OASL,ATP6V0A2,LTB4R,IGHE,IGHG4,IL32,CRHR1,SP2,PGLYRP1,IL10RB,SUSD2	Adipose_Visceral_Omentum	C-reactive protein (30710)	CAD_HARD	6_Adipose_Visceral_Omentum_30710_CAD_HARD
cytokine-mediated signaling pathway	-0.000208026410516971	2.73150211365563e-05	-0.000141722210312132	0.000119215858943572	-7.61582462180725	-1.18878655548011	2.62729718168143e-14	0.234523669885334	2.92024081743891e-12	0.747181977309017	GO	26	226	IRF6,IL17RB,HLA-G,HLA-A,HLA-C,HLA-B,HLA-DRA,HLA-DRB5,HLA-DRB1,HLA-DQA1,HLA-DQB1,HLA-DQA2,HLA-DQB2,HLA-DPA1,HLA-DPB1,NUPL2,SH2B2,TNFRSF1A,NUP107,OASL,IFI27,NEDD4,PIAS1,NUP85,UBA52,IFNAR2	Adipose_Visceral_Omentum	C-reactive protein (30710)	CAD_HARD	6_Adipose_Visceral_Omentum_30710_CAD_HARD
regulation of immune response	-0.000122094179614018	1.5491449046641e-05	-0.000162407276172862	6.76447642869275e-05	-7.88139180824349	-2.4008846491649	3.24767745080474e-15	0.0163554912820774	4.24681586655232e-13	0.339796795514562	GO	10	91	HLA-G,HLA-A,HLA-C,HLA-B,MICA,MICB,SH2B2,KLRG1,ICAM3,CD40	Adipose_Visceral_Omentum	C-reactive protein (30710)	CAD_HARD	6_Adipose_Visceral_Omentum_30710_CAD_HARD
response to virus	-0.000103247661044617	1.73009784539012e-05	-0.00013817649675914	7.58470757367145e-05	-5.9677353694025	-1.82177750977226	2.40822042704863e-09	0.0684887515876109	9.91384075801686e-08	0.538427659874496	GO	9	120	DDX1,HYAL3,HYAL2,DHX36,ZC3HAV1,BANF1,OASL,DHX58,IFNAR2	Adipose_Visceral_Omentum	C-reactive protein (30710)	CAD_HARD	7_Adipose_Visceral_Omentum_30710_CAD_HARD
