name	exp_beta	exp_se	out_beta	out_se	exp_z	out_z	exp_pvalue	out_pvalue	exp_pvalue_FDR	out_pvalue_FDR	database	ngenes_tscore	ngenes_path	genes_path	tissue	exposure	name_outcome	class_path
Antigen processing-Cross presentation	-0.00021050309932777	4.71287333992526e-05	-0.0352954717862725	0.0466986196239017	-4.46655541417773	-0.755814027706448	7.9489079573653e-06	0.449760705077143	0.00160567940738779	0.79949850803069	Reactome	14	101	PSMB4,ITGB5,HLA-G,HLA-H,HLA-A,HLA-C,HLA-B,TAP2,TAPBP,MRC1,PSMD13,TIRAP,PSME2,PSMB3	Artery_Coronary	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	Dx	1_Artery_Coronary_41270_I10_Dx
immune response	-0.000348806713188327	6.93808596958334e-05	-0.0579433449957641	0.0696612573798209	-5.02741987801103	-0.831787239782852	4.97123082780303e-07	0.405529047655355	0.000125689286096287	0.823228736996887	GO	27	369	TGFBR3,FASLG,LY75,CXCL2,HLA-G,HLA-A,HLA-C,HLA-B,MICA,MICB,LTB,HLA-DRB5,HLA-DRB1,HLA-DQA1,HLA-DQB1,HLA-DQA2,HLA-DQB2,HLA-DOB,HLA-DPA1,HLA-DPB1,TAPBP,BMPR1A,CTSW,TNFSF13,CRHR1,CST7,BPI	Artery_Coronary	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	Dx	1_Artery_Coronary_41270_I10_Dx
DAP12 interactions	-9.02327591281958e-05	2.39719279144853e-05	-0.0430727235505547	0.0239224323505791	-3.76410105395285	-1.80051605619911	0.000167149284698963	0.0717791906264855	0.0077917281944286	0.467722467953228	Reactome	4	44	HLA-C,HLA-B,SIGLEC14,SIRPB1	Artery_Coronary	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	Dx	2_Artery_Coronary_41270_I10_Dx
innate immune response	-0.000241250918135662	8.05607371994414e-05	-0.196678377298686	0.0798498268941912	-2.99464635655463	-2.46310336476125	0.00274763202481379	0.0137740200178662	0.0417228355245748	0.366582252054438	GO	38	609	BCL10,CTSK,THEM4,C4BPB,IRAK2,TEC,CFI,FAM105B,HLA-C,HLA-B,C4A,C4B,FGF17,TRIM32,SFTPD,IFIT5,TRIM21,UNC93B1,PAK1,MRE11A,TIRAP,KLRG1,ITPR2,ATF1,STAT6,PRKD1,PHLPP2,MAP2K4,DHX58,TBKBP1,PRKAR1A,SIGLEC14,SIRPB1,YWHAB,MX1,ITGB2,APOBEC3A,APOBEC3G	Artery_Coronary	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	Dx	2_Artery_Coronary_41270_I10_Dx
G2/M Checkpoints	-0.000200527186788769	5.59680660471919e-05	-0.0351146988938114	0.0553754568290134	-3.58288575881264	-0.634120256600998	0.000339819249079134	0.52600234395659	0.0128706540588722	0.850554836843692	Reactome	17	151	PSMB4,CDC25A,RNF8,ORC3,ORC5,WRN,NBN,YWHAZ,DNA2,PSMD13,RFC5,PSME2,TP53BP1,TOP3A,PSMB3,YWHAB,GTSE1	Artery_Coronary	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	Dx	3_Artery_Coronary_41270_I10_Dx
Meiotic recombination	-9.55725939317288e-05	2.71352106304061e-05	-0.0327580065559853	0.026988242325145	-3.52208778599403	-1.21378806968339	0.00042816233603975	0.224828663238656	0.0139493280453663	0.657689131133324	Reactome	4	56	MSH4,H3F3A,NBN,TOP3A	Artery_Coronary	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	Dx	3_Artery_Coronary_41270_I10_Dx
Initial triggering of complement	-0.000104747188128525	2.26925035905761e-05	-0.0303334808895773	0.0220670956395389	-4.61593793344273	-1.37460232126003	3.91323895964229e-06	0.16925476857842	0.00118571140477161	0.607830801586489	Reactome	3	103	C4A,C4B,IGLC7	Artery_Coronary	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	Dx	4_Artery_Coronary_41270_I10_Dx
Integrin cell surface interactions	-9.84463060540162e-05	3.03690586532897e-05	-0.0284226929857804	0.0302001336864128	-3.24166472125247	-0.941144608196484	0.00118833737136498	0.346630758250166	0.0200036790846439	0.739641688378875	Reactome	5	66	ITGB5,ITGA2,COL4A2,ICAM3,ITGB2	Artery_Coronary	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	Dx	5_Artery_Coronary_41270_I10_Dx
Vitamins B6 activation to pyridoxal phosphate	-9.05132502965792e-05	1.91931564403338e-05	-0.0536636417666442	0.0190864630485714	-4.71591270450799	-2.81160745341243	2.40629596970416e-06	0.0049294622500311	0.00118571140477161	0.186703382719928	Reactome	2	3	PNPO,PDXK	Artery_Coronary	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	Dx	6_Artery_Coronary_41270_I10_Dx
spindle pole	-0.000181101492177809	4.51731897236999e-05	-0.130467715620825	0.0447860913438398	-4.00904813863066	-2.9131302086439	6.0963989065985e-05	0.00357825363277463	0.00369929485652397	0.313082214697174	GO	11	90	CEP63,CEP19,KIF2A,RGS14,DDX11,CKAP2,KNSTRN,FBF1,CTDP1,HAUS8,FAM83D	Artery_Coronary	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	Dx	7_Artery_Coronary_41270_I10_Dx
regulation of protein phosphorylation	-0.000120874694666711	3.03850536244657e-05	-0.0537012117918312	0.0303420218538185	-3.97809713159052	-1.76986266935514	6.94689943165204e-05	0.076750020920269	0.0037128650955263	0.498247633689799	GO	5	34	DVL1,FER,FLCN,TADA2A,PRKAR1A	Artery_Coronary	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	Dx	8_Artery_Coronary_41270_I10_Dx
positive regulation of neuron projection development	-9.22864959781213e-05	2.35612061048876e-05	-0.0210961896565677	0.0234390128603262	-3.91688335339408	-0.9000459952081	8.97011243905719e-05	0.368095773907265	0.00412353350607569	0.801962886409718	GO	3	62	DVL1,ATF1,PRKD1	Artery_Coronary	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	Dx	8_Artery_Coronary_41270_I10_Dx
