name	exp_beta	exp_se	out_beta	out_se	exp_z	out_z	exp_pvalue	out_pvalue	exp_pvalue_FDR	out_pvalue_FDR	database	ngenes_tscore	ngenes_path	genes_path	tissue	exposure	name_outcome	class_path
nucleotide binding	-0.000216018739814846	4.67185975413144e-05	-0.121197699952005	0.110949811506313	-4.6238275800941	-1.09236508207234	3.76870667467155e-06	0.274672664478221	7.82975227831294e-05	0.813719695821728	GO	66	564	ATAD3B,EXOSC10,PABPC4,PPIE,ODF2L,ABCD3,WARS2,CHD1L,TDRD10,NTPCR,DNAH6,GCC2,POLR2D,RBM44,LARS2,DALRD3,RBM6,ABCF3,ATP13A4,LARS,ABT1,VARS2,TAP2,PEX6,AARS2,ASCC3,SYNJ2,EIF3B,NT5C3A,FIGNL1,ABCB8,WRN,PARP10,VCP,NOL8,CELF2,RPS24,NT5C2,RBM20,ABCC8,IGHMBP2,NARS2,CAPRIN2,EIF4B,RBM19,DNAH10,ATP7B,HNRNPA1L2,CARS2,UPF3A,RBM23,LTB4R,ADCY4,SPATA5L1,WHAMM,TARSL2,NT5C3B,ABCC3,RAD51C,ABCA5,FBF1,LONP1,U2AF1L4,ITPA,MCM8,RRP7A	Adipose_Visceral_Omentum	C-reactive protein (30710)	Dx	1_Adipose_Visceral_Omentum_30710_Dx
RNA binding	-0.000382837390072088	5.16460545149712e-05	-0.317244084476578	0.122821649161806	-7.41271320079466	-2.58296551659747	1.24045502368785e-13	0.00979551130910106	1.25342341711731e-11	0.272192770501646	GO	82	648	EXOSC10,PABPC4,PPIE,NSUN4,RTCA,TDRKH,TDRD10,DDX59,SNRPE,SRP9,LRPPRC,BARD1,RBM44,HDLBP,TRNT1,THUMPD3,RBM6,RPL29,RPL9,DROSHA,CNOT8,FBLL1,ABT1,SKIV2L,RPS18,RPL10A,KHDRBS2,SYNJ2,EIF3B,LSM5,IMPDH1,ZC3HAV1,RPL8,NOL8,TRIM32,RPL12,DDX31,SURF6,ADARB2,CELF2,TRDMT1,NSUN6,IFIT5,RBM20,MRPL21,IGHMBP2,RPS3,CWC15,PUS3,DDX25,CAPRIN2,DDX11,ENDOU,EIF4B,RBM19,OASL,DDX55,HNRNPA1L2,UPF3A,RBM23,NOP9,CPSF2,SNRPN,DIS3L,RPS2,EXOSC6,ADAT1,MPHOSPH6,ADAD2,RPL13,MRPS7,U2AF1L4,FBL,PPP5C,DHX34,RPS9,CRNKL1,CSTF1,PCBP3,THOC5,APOBEC3G,RRP7A	Adipose_Visceral_Omentum	C-reactive protein (30710)	Dx	1_Adipose_Visceral_Omentum_30710_Dx
intracellular	0.000229205580426021	8.33664193300491e-05	0.181805579326566	0.196164635617112	2.74937537521663	0.926800994249685	0.00597123289429035	0.354029868659105	0.0349317124315985	0.844465150498552	GO	214	1340	PEX14,EXOSC10,CASP9,RSG1,MRTO4,PHACTR4,ZFP69,ZMYND12,DR1,RAB13,RIT1,VSIG8,LHX4,DDX59,RAB7L1,TBCE,ZNF670,ZNF124,ZNF496,TRIM58,DNAJC27,RASGRP3,POLE4,MRPL19,MRPL35,ZNF514,RAB6C,RND3,CAPN10,ANO7,TRNT1,MKRN2,TRIM71,RPSA,ZNF852,CDC25A,ZNF589,RPL29,ZNF717,CHMP2B,ARHGAP31,PLXNA1,LEKR1,GFM1,UCHL1,PLA2G12A,ANXA5,TRIM2,MRPL36,ATG10,RPS23,CNOT8,NUDCD2,RAB24,ZNF354B,ZNF454,TRIM7,C6orf62,HIST1H2BJ,ZKSCAN3,TRIM27,ZFP57,HLA-DOB,RPS18,BAK1,ASCC3,ARHGAP18,ALDH8A1,MRPL18,ARL4A,ZNF138,ZNF273,TRIM73,TRIM4,TRIM24,ZNF786,ZNF212,ZNF783,CTSB,CSGALNACT1,WRN,CHRAC1,ZNF34,RPL8,ZNF7,DIRAS2,TRIM14,ZNF483,TRIM32,ZNF79,AKR1C3,RAB18,ZNF25,ZNF37A,SAR1A,DLG5,RPS24,PLCE1,ARL3,PTDSS2,ZNF195,ZNF215,TRIM66,ANO5,P2RX3,RHOD,GSTP1,MRPL21,ARRB1,RAB38,BIRC3,TRAPPC4,ARHGAP32,H2AFJ,LRRK2,RAPGEF3,ZNF641,RPS26,METTL21B,TSFM,NUDT4,ZNF605,SMAD9,RASA3,ADCY4,RPL36AL,RAB15,GPHN,ITPK1,EIF2AK4,RPS27L,IQGAP1,TELO2,ZNF500,ROGDI,SEC14L5,ZKSCAN2,ZFP1,GABARAPL2,RPL13,NLRP1,TOM1L2,NOS2,RAB5C,ARL17B,ARL17A,MRPL10,TRIM37,GGA3,TRIM65,CARD14,ARL16,ZNF519,POLI,RPS28,ZNF266,ZNF561,ZNF788,ZNF333,ZNF14,ZNF253,ZNF682,ZNF431,ZNF738,ZNF493,ZNF429,ZNF100,ZNF208,ZNF257,ZNF98,ZNF302,ZNF181,ZNF792,ZNF566,ZNF529,ZNF585A,ZFP30,ZNF780A,ZNF404,ZNF155,ZNF223,PRKD2,ZNF175,ZNF577,ZNF649,ZNF432,ZNF880,ZNF528,ZNF468,ZNF677,ZNF813,RPS9,ZNF667,ZNF471,ZNF304,ZNF772,ZNF419,ZNF773,ZNF550,ZNF211,ZNF586,ZNF814,ZNF587,ZNF135,ZNF544,ZNF584,ZNF132,CDC25B,CRNKL1,ZNF337,ZNF334,SEC14L6,IFT27,RABL2B	Adipose_Visceral_Omentum	C-reactive protein (30710)	Dx	2_Adipose_Visceral_Omentum_30710_Dx
mitochondrial inner membrane	0.000182089069070883	3.85080967444535e-05	0.123678196475564	0.0923184302147673	4.7285917629027	1.33969128577947	2.2617899027e-06	0.180345731804087	4.85101462608097e-05	0.731920543995292	GO	46	347	ATAD3B,SLC25A34,ABCD3,THEM4,NDUFS2,MARC2,COX7A2L,IMMT,CPS1,NDUFA10,SLC25A26,MCCC1,BDH1,GUF1,CCDC109B,ETFDH,NNT,VDAC1,MRS2,SLC25A27,SNX13,ATP5J2,ABCB8,ATP5C1,SFXN2,ACSL5,TIMM10,NDUFV1,NDUFS8,NDUFA12,DNAJC15,DHRS1,POLG,NME4,FAHD1,TRAP1,COQ7,DHODH,TTC19,SLC25A39,ATP5J,NDUFV3,NIPSNAP1,TOMM22,SLC25A17,SAMM50	Adipose_Visceral_Omentum	C-reactive protein (30710)	Dx	3_Adipose_Visceral_Omentum_30710_Dx
lysosome	0.000121879680109774	3.47460982875806e-05	0.123483215364365	0.0828204290143674	3.50772276936021	1.49097531652418	0.000452022004603225	0.135967975556627	0.00448591480461147	0.660290907589171	GO	37	198	PPT1,PCSK9,DRAM2,C1orf85,TMEM9,HYAL3,HYAL2,FGFR3,NAAA,AGA,SLC36A1,HLA-DRA,HLA-DOB,CTSB,GGH,SNX16,MARCH8,SFTPD,LIPA,CAT,ACP2,TPCN2,DRAM1,PLBD2,GALC,CTSH,DOC2A,CTNS,USP6,TMEM97,ABCA5,GAA,NPC1,ANKRD27,CTSZ,HPS4,ARSA	Adipose_Visceral_Omentum	C-reactive protein (30710)	Dx	4_Adipose_Visceral_Omentum_30710_Dx
endosome	-0.000109807201503834	2.1949016163306e-05	-0.0884711188071093	0.0520613242776963	-5.00283022650499	-1.6993635877413	5.65246635418789e-07	0.0892506982599598	1.51390755486261e-05	0.59003063898933	GO	15	171	LHCGR,STEAP3,OCIAD1,VPS28,CUBN,MARCH8,BET1L,M6PR,VPS29,RABEP1,SNX11,NPC1,ATP6V1E1,CRKL,ARSA	Adipose_Visceral_Omentum	C-reactive protein (30710)	Dx	5_Adipose_Visceral_Omentum_30710_Dx
plasma membrane	-0.000442666896354774	0.000103775166629564	-0.179300938458753	0.247528090309277	-4.26563416597458	-0.724366023406568	1.99392579005312e-05	0.468841053220266	0.000321195437049861	0.888102580345524	GO	353	3530	CLCNKA,HSPG2,XKR8,SLC6A9,SLC5A9,TACSTD2,SGIP1,SLC44A5,SLC44A3,CELSR2,AMIGO1,KCNC4,CHD1L,SETDB1,THEM4,S100A16,RAB13,RIT1,FCRL5,FCRL3,VANGL2,TNFSF18,SERPINC1,PKP1,RAB7L1,C4BPB,C4BPA,CD55,NSL1,KCNK2,OR2W3,KCNS3,ATRAID,RASGRP3,LHCGR,RTN4,WDPCP,VAMP8,PROM2,CNNM3,CNGA3,MERTK,PSD4,STEAP3,GPR17,LYPD6B,PKP4,ITGB6,CYBRD1,SLC40A1,STK17B,NGEF,CAPN10,ANO7,HDLBP,SEPT2,SLC6A1,PLCD1,RPSA,PRKAR2A,HYAL2,PXK,SLC9C1,CD80,GPR156,HCLS1,ITGB5,SLC41A3,PLXNA1,PLSCR4,P2RY12,LPP,SLC51A,DGKQ,SLC26A1,CRIPAK,FGFR3,FAM193A,BST1,UCHL1,CNGA1,SRP72,GNRHR,ANXA3,PTPN13,SLC10A6,MGST2,GYPE,KLKB1,SLC9A3,OCLN,MAP1B,FCHO2,F2R,VDAC1,PCDHA4,PCDHB8,PCDHB16,PCDHB11,PCDHB12,PCDHGA2,PCDHGA6,SH3TC2,SLC36A1,MFAP3,RGS14,EXOC2,LY86,BTN3A2,HLA-G,HLA-A,HLA-C,HLA-B,MICA,MICB,SLC44A4,C4A,NOTCH4,HLA-DRA,HLA-DRB5,HLA-DRB1,HLA-DQA1,HLA-DQB1,HLA-DQA2,HLA-DQB2,TAP2,HLA-DPA1,HLA-DPB1,HSD17B8,SLC26A8,TREM1,PAQR8,MAP3K7,BVES,SMPD2,SLC22A16,SERINC1,VNN1,VNN2,EPM2A,AKAP12,PRKAR1B,GNA12,DAGLB,ARL4A,KLHL7,CRHR2,TRGV3,ZP3,UPK3B,PTPN12,GNAT3,STEAP2,TRIM4,PILRA,CLDN15,SH2B2,ZC3HAV1,TAS2R4,SGCZ,ADRA1A,SDCBP,WWP1,MMP16,LYNX1,PLEC,VPS28,PDCD1LG2,DENND4C,AQP7,AQP3,TMEM8B,DIRAS2,HIATL1,CTNNAL1,LPAR1,SLC2A8,TUBB4B,TUBB8,CUBN,MRC1,APBB1IP,RAB18,PARD3,VCL,KCNMA1,DLG5,OPN4,BMPR1A,MYOF,PLCE1,ARL3,AFAP1L2,FGFR2,OR51E1,OR52N5,OR52N2,ILK,ABCC8,ANO5,SVIP,CD59,CAT,MADD,LPXN,KCNK7,DPP3,RHOD,ANKRD13D,PTPRCAP,MRGPRD,ARRB1,RAB38,CRYAB,CADM1,KIRREL3,IGSF9B,TNFRSF1A,TAPBPL,KLRG1,CLECL1,CLEC12A,CLEC12B,OLR1,KLRC2,TAS2R14,TAS2R50,TAS2R20,TAS2R19,TAS2R43,GUCY2C,C2CD5,TM7SF3,LRRK2,ENDOU,RAPGEF3,LMBR1L,ASIC1,KRT5,ITGA7,PMEL,ARHGEF25,B4GALNT1,GLIPR1,PHLDA1,SLC6A15,MRPL42,IGF1,STAB2,CORO1C,P2RX7,ATP6V0A2,MPHOSPH8,SPRY2,CLDN10,OXGR1,GPR18,IRS2,F10,UPF3A,LTB4R,ADCY4,SCFD1,MAP4K5,RAB15,GPHN,FLVCR2,CALM1,GPR132,CATSPER2,GLDN,NEDD4,CA12,DIS3L,ISLR2,CHRNA5,MTHFS,IQGAP1,RCCD1,RGS11,HMOX2,MGRN1,SLC5A11,RNF40,NFATC3,SPIRE2,MC1R,FAM57A,CRK,SRR,CTNS,CHRNE,USP6,CHRNB1,PMP22,ADORA2B,FLCN,SLC47A1,TMEM97,TBC1D3F,RAB5C,KCNH4,ADAM11,PLCD3,CRHR1,WNT3,ABCC3,CD300LD,CYTH1,CARD14,CSNK1D,USP14,GNAL,MIB1,NPC1,SLC14A1,PPAP2C,TMIGD2,FCER2,S1PR2,ICAM5,ICAM3,UBA52,LPAR2,SLC7A9,LSR,FFAR3,UPK1A,KCNK6,RABAC1,PRKD2,GRIN2D,IZUMO1,SIGLEC14,GP6,SIRPB1,SLC12A5,CD40,SULF2,CTSZ,CDH26,RGS19,IFNAR2,IL10RB,TMEM50B,TRPM2,COMT,PI4KA,SNAP29,SSTR3,PARVG,PKDREJ,ARSA	Adipose_Visceral_Omentum	C-reactive protein (30710)	Dx	6_Adipose_Visceral_Omentum_30710_Dx
protein glycosylation	0.00010806912902125	2.03965192284195e-05	0.119097432512008	0.0488568272138987	5.29841037144574	2.43768249605303	1.16892557472901e-07	0.0147817508174397	3.84366117169914e-06	0.309998415728004	GO	13	104	UGGT1,GALNT15,SRD5A3,C1GALT1,FUT10,ABO,GALNT18,EXT2,B4GALNT1,ALG5,UGGT2,ST6GALNAC2,NPC1	Adipose_Visceral_Omentum	C-reactive protein (30710)	Dx	7_Adipose_Visceral_Omentum_30710_Dx
biological_process	0.00013950283460878	4.75203782911032e-05	0.117721437776562	0.113150767791731	2.9356423417803	1.04039451144728	0.00332881638697512	0.298156650607214	0.0224241176613506	0.823708791342854	GO	70	573	TMEM56,FAM189B,TMEM9,COA6,TTC27,ALMS1,IMMT,THNSL2,RGPD8,ZNF142,WDFY1,MKRN2,CTDSPL,MST1,TMEM110,LPP,MUC4,TMEM128,NAAA,HSD17B13,GSTCD,PLA2G12A,USP53,WDR36,EPB41L4A,REEP5,BTNL3,C6orf62,SCGN,PSORS1C2,VWA7,C6orf106,PRICKLE4,MRPS10,C6orf163,FAM184A,ZNF107,POMZP3,TSTD2,TRIM14,HSDL2,ZNF79,SARDH,PBLD,CWF19L1,KDELC2,IFT46,TMEM116,URAD,NOP9,DTD2,COX16,TM6SF1,TARSL2,NPRL3,ZKSCAN2,NUDT7,ANKRD40,WBP2,ENOSF1,INO80C,SGTA,NUDT19,ZNF223,STRN4,RTFDC1,CYYR1,TMEM50B,DSCR3,SPATC1L	Adipose_Visceral_Omentum	C-reactive protein (30710)	Dx	8_Adipose_Visceral_Omentum_30710_Dx
homeostasis of number of cells within a tissue	0.000120674568841166	1.13321272307049e-05	0.103354631520987	0.0270255062666717	10.6488893377577	3.82433655455496	1.7827915716584e-26	0.000131124698057265	4.95393207974579e-24	0.0416414576830428	GO	4	22	F2R,LIPA,P2RX7,RPA1	Adipose_Visceral_Omentum	C-reactive protein (30710)	Dx	9_Adipose_Visceral_Omentum_30710_Dx
