name	exp_beta	exp_se	out_beta	out_se	exp_z	out_z	exp_pvalue	out_pvalue	exp_pvalue_FDR	out_pvalue_FDR	database	ngenes_tscore	ngenes_path	genes_path	tissue	exposure	name_outcome	class_path
cytoplasm	-0.000757675241837338	9.31950395274603e-05	-0.000615005574112584	0.000444538350251711	-8.1299953911612	-1.38347023100335	4.30825324842981e-16	0.16652072906583	9.73536629570557e-15	0.589022623747995	GO	343	4777	DFFA,RSG1,PADI4,KIF17,NBPF3,ZNF436,ASAP3,RPS6KA1,INPP5B,FOXO6,LEPRE1,FAF1,PCSK9,ITGB3BP,PGM1,TTLL7,DDAH1,GBP3,RWDD3,CDC14A,PRMT6,CELSR2,PSRC1,SORT1,DRAM2,DENND2D,LRIG2,RBM8A,NBPF12,ACP6,CTSK,S100A13,SMG5,FCRLB,MAEL,RC3H1,NPL,ARPC5,CHI3L1,RAB7L1,IRF6,EGLN1,GRHL1,LPIN1,KCNS3,STRN,INO80B,DNAH6,CAPG,TSGA10,MAP4K4,MERTK,RABL2A,RAB6C,PTPN18,ACVR2A,KIF5C,RIF1,GALNT3,PPIG,BMPR2,CLASP2,ARPP21,WDR6,BSN,IL17RB,HCLS1,IQCB1,ROPN1B,HLTF,LXN,TP63,LSG1,NCBP2,EVC,TRMT44,RFC1,RPL9,UBE2K,GNPDA2,SRD5A3,SULT1E1,AFP,NAAA,NUP54,SPP1,ADH5,PPP3CA,BDH2,LARP7,TRIM2,GUCY1B3,CEP44,NSUN2,C9,PAIP1,RAB3C,CDK7,ARHGEF28,ATG10,ERAP1,NUDT12,PPIC,EGR1,SRA1,RANBP17,BNIP1,PDLIM7,NQO2,ZNF322,CCHCR1,MICA,DEF6,STK38,FGD2,GNMT,PEX6,CDC5L,GSTA1,EEF1A1,IBTK,ASCC3,CEP85L,ARG1,MTRF1L,IPCEF1,TCP1,HEATR2,ZFAND2A,ICA1,AQP1,ADCYAP1R1,NT5C3A,ZP3,PTPN12,TRIM4,TRIP6,RELN,GCC1,ARF5,STRIP2,C7orf49,PTPRN2,PCM1,DMTN,ELP3,DDHD2,SMIM19,RAB2A,WWP1,DECR1,SH3GL2,APTX,FAM120A,TBC1D2,RAD23B,EPB41L4B,DFNB31,TTLL11,LRSAM1,PITRM1,AKR1E2,MASTL,EGR2,NRBF2,STOX1,PPA1,ASCC1,DLG5,GLUD1,IFIT1,ALDH18A1,CUEDC2,GSTO2,TDRD1,SLC18A2,DPYSL4,NLRP6,DRD4,DEAF1,EPS8L2,C11orf21,TRIM3,SERGEF,LDHC,BDNF,APIP,RAPSN,CD248,RHOD,RPS6KB2,IGHMBP2,XRRA1,UVRAG,GAB2,RAB38,CEP57,ELMOD1,DIXDC1,PTS,RPS25,TRIM29,POU2F3,ARHGEF12,IQSEC3,FBXL14,LRRK2,PFKM,SLC11A2,RAB5B,STAT2,METTL21B,STAB2,CORO1C,KCTD10,MVK,RITA1,CLIP1,CDK2AP1,GLT1D1,ANKLE2,WASF3,KATNAL1,HSPH1,SMAD9,DGKH,CKAP2,RASA3,HAUS4,DHRS2,EMC9,IRF9,ADCY4,RALGAPA1,TRIM9,GPHN,GSTZ1,WARS,MTA1,CYFIP1,SRP14,PLCB2,NDUFAF1,SPATA5L1,DAPK2,DPP8,ARIH1,MPI,UBE2Q2,PEAK1,WHAMM,TELO2,FLYWCH1,ZNF263,MGRN1,TEKT5,CD2BP2,NOD2,RBL2,BBS2,PRMT7,CMTR2,WWOX,MPHOSPH6,CTU2,FANCA,MC1R,DPH1,SRR,PELP1,RNF167,C1QBP,WRAP53,NTN1,FLCN,COPS3,SHMT1,NEK8,BLMH,NF1,NT5C3B,RAMP2,BRCA1,ARL4D,EFCAB13,NME1-NME2,STXBP4,GALK1,SRP68,CCDC40,RPTOR,ACTG1,HEXDC,CEP192,MAPRE2,CTDP1,WDR18,LONP1,TNFSF14,PRDX2,TECR,CRLF1,CEP89,PPP1R14A,RASGRP4,PAK4,MAP3K10,ETHE1,ERCC1,SYMPK,PRKD2,TULP2,AKT1S1,EPS8L1,DNAAF3,BRSK1,PSMF1,ITPA,RASSF2,PLCB1,E2F1,YWHAB,EYA2,RGS19,PCMTD2,USP16,RCAN1,PSMG1,CBS,UFD1L,BCR,GSTT2B,DDTL,DDT,GSTT2,MTMR3,APOL5,MPST,APOBEC3G,ST13,SULT4A1,MAPK12,ARSA	Liver	LDL direct (30780)	CAD_HARD	1_Liver_30780_CAD_HARD
spindle	-0.000302601532899412	1.72148924913688e-05	-0.000332934245560322	8.22386287905777e-05	-17.5778926909437	-4.04839247026048	3.92328172088338e-69	5.15706175605331e-05	2.12137447336337e-67	0.00269234189609128	GO	11	117	RPS6KA1,CDC14A,PSRC1,MZT2A,RIF1,MAEA,NSUN2,MTUS1,HAUS4,NUP85,CTDP1	Liver	LDL direct (30780)	CAD_HARD	2_Liver_30780_CAD_HARD
plasma membrane	-0.000626871000513675	7.34684295747675e-05	-0.000735992401074295	0.000350593120827836	-8.53252212061672	-2.09927793031545	1.43804249989998e-17	0.0357924077449863	3.40186928882589e-16	0.297643491896152	GO	210	3530	TNFRSF14,EPHA2,INPP5B,SLC5A9,SLC44A5,LPHN2,LPAR3,SLC44A3,GPR88,CELSR2,SORT1,AMIGO1,SLC16A1,LRIG2,NRAS,HSD17B7,SELE,RNPEP,REN,RAB7L1,KCNS3,OXER1,RTN4,SLC1A4,INO80B,EDAR,MERTK,PSD4,GPR17,ACVR2A,ITGB6,OSBPL6,CASP10,BMPR2,ICOS,NMUR1,GPC1,CHL1,ZFYVE20,CLASP2,SLC26A6,HCLS1,PIK3CB,CLDN16,GP5,SLC2A9,BST1,PCDH7,TLR1,CNGA1,EXOC1,F11,SLC9A3,SLC6A19,C9,RAB3C,ARHGEF28,F2R,EFNA5,PCDHGC3,SLC36A1,TENM2,DRD1,GRM6,EXOC2,BTN3A2,HLA-F,HLA-G,HLA-C,MICA,MICB,C4A,C4B,HLA-DRB5,HLA-DRB1,HLA-DQA1,HLA-DQB1,HLA-DQA2,HLA-DPB1,DEF6,STK38,SLC22A7,ENPP4,EEF1A1,CD109,SMPD2,TAB2,IPCEF1,TCP1,SLC22A1,PRKAR1B,AQP1,ADCYAP1R1,TRGV3,ZP3,UPK3B,PTPN12,PON2,TRIM4,PILRA,ACHE,GCC1,ARF5,TAS2R4,AOC1,MTUS1,DMTN,SLC39A14,ADRA1A,NPBWR1,WWP1,ANXA13,EFR3A,LYNX1,CD274,SH3GL2,NPR2,SLC28A3,FAM120A,CTNNAL1,CERCAM,MRC1,DLG5,SLC18A2,NLRP6,CDHR5,DRD4,EPS8L2,NCR3LG1,KCNJ11,ANO5,F2,LRP4,RAPSN,RHOD,PTPRCAP,GAB2,RAB38,PANX1,TREH,KIRREL3,CD9,CLECL1,CLEC12A,KLRD1,TAS2R10,LRRK2,CNTN1,SLC11A2,RAB5B,STAT2,GPR182,STAB2,CORO1C,ABCB9,DGKH,TNFSF13B,LTB4R,ADCY4,GPHN,SLC28A2,SPPL2A,SCAMP5,FANCI,VASN,MGRN1,LITAF,ITGAD,NOD2,WWOX,MC1R,SRR,CTNS,C1QBP,FLCN,OMG,RAMP2,BRCA1,ARL4D,KCNJ16,ENPP7,COLEC12,SPIRE1,SLC39A3,TNFSF14,ICAM3,ARRDC2,CRLF1,CEP89,CATSPERG,RASGRP4,SYMPK,PRKD2,PTOV1,LILRA3,BRSK1,KCNB1,RGS19,TMEM50B,ATP5O,KCNE1,ICOSLG,PI4KA,BCR,SLC2A11,ADORA2A,GGT1,GALR3,PARVB,ARSA	Liver	LDL direct (30780)	CAD_HARD	3_Liver_30780_CAD_HARD
membrane	-0.000305090114667763	6.24320262806888e-05	-0.000558093029011326	0.000297969547506762	-4.88675657099618	-1.87298679909114	1.02560379553561e-06	0.0610702079171295	1.06353708660336e-05	0.396825299513022	GO	149	2175	MMEL1,NPHP4,CLCN6,CAPZB,NIPAL3,RHD,RHCE,MAN1C1,RPS6KA1,INPP5B,MKNK1,SLC5A9,ITGB3BP,LPHN2,GBP3,GBP7,CELSR2,SYPL2,SLC16A1,NRAS,CTSS,MGST3,SELE,RAB7L1,CNIH4,SNAP47,KCNS3,STRN,SLC1A4,MOGS,RABL2A,RAB6C,LRP1B,ACVR2A,ITGB6,GALNT3,BMPR2,PARD3B,GPC1,SLC26A6,IL17RB,POPDC2,SEC22A,SLC12A8,NCEH1,CLDN16,SLC2A9,PCDH7,TLR1,NIPAL1,CNGA1,SCARB2,PPP3CA,F11,RAB3C,CAST,RIOK2,EFNA5,PCDHGC3,YIPF5,DRD1,PGBD1,HLA-G,HLA-C,MICA,MICB,AGPAT1,HLA-DRB5,HLA-DRB1,HLA-DQA1,HLA-DQB1,HLA-DQA2,HLA-DOB,HLA-DMA,HLA-DPB1,BAK1,MDGA1,SLC22A7,TMEM30A,IBTK,SMPD2,SYNJ2,SLC22A1,C1GALT1,AQP1,ADCYAP1R1,ACHE,LAMB1,ZDHHC2,DMTN,SLC39A14,ADRA1A,FUT10,RAB2A,CNTLN,DNAJA1,SLC28A3,LRSAM1,PPAPDC3,SURF1,PPIF,SLC18A2,SFXN4,CDHR5,DRD4,CYB5R2,SLC35C1,P2RX3,FADS3,YIF1A,RHOD,NDUFS8,RAB38,ARHGEF12,KIRREL3,LRRK2,CNTN1,SLC11A2,RAB5B,STX2,TNFSF13B,ADCY4,TMEM63C,IGHG4,SPTBN5,SLC28A2,DPP8,SEMA4B,TELO2,VPS53,C1QBP,CPD,ARL4D,SNX11,NME1-NME2,ENPP7,SLC39A3,TNFSF14,ICAM3,RASGRP4,PRKD2,KCNB1,RGS19,HUNK,KCNE1,ICOSLG,SLC2A11,ADORA2A,MTMR3	Liver	LDL direct (30780)	CAD_HARD	3_Liver_30780_CAD_HARD
integral component of membrane	-0.000514478481888856	8.58365492462778e-05	-0.00112874660909254	0.000409872477071388	-5.99369949522016	-2.75389705880629	2.05339535761606e-09	0.00588902878683115	3.17228629737829e-08	0.108182472481662	GO	281	4420	TMEM52,MMEL1,PEX14,CLCN6,NIPAL3,RHD,RHCE,TMEM39B,INPP5B,SLC5A9,SLC44A5,LPHN2,LPAR3,LRRC8B,LRRC8C,SLC44A3,GPR88,CELSR2,SORT1,SYPL2,AMIGO1,DRAM2,SLC16A1,LRIG2,VANGL1,PTGFRN,CERS2,PAQR6,C1orf85,HSD17B7,MGST3,SELE,FMO4,SUSD4,CNIH4,PQLC3,LCLAT1,ATL2,OXER1,GPR75,RTN4,SLC1A4,MOGS,ST3GAL5,RNF103,UNC50,EDAR,MERTK,TMEM177,GPR17,LRP1B,GALNT3,ICOS,NMUR1,CHL1,ZDHHC3,SLC26A6,CYB561D2,TMEM110,POPDC2,SEC22A,SLC12A8,AADAC,NCEH1,CLDN16,EVC,SLC2A9,SMIM20,PCDH7,TLR1,NFXL1,NIPAL1,CWH43,SRD5A3,UGT2B28,SCARB2,CYP4V2,SLC9A3,ZDHHC11,ZDHHC11B,SLC6A19,NNT,EMB,F2R,ATP6AP1L,ERAP1,ERAP2,MEGF10,PCDHGC3,YIPF5,SLC36A1,TENM2,DRD1,GRM6,BTNL3,MBOAT1,BTN3A2,HLA-C,MICB,ATF6B,AGPAT1,RNF5,HLA-DQA1,HLA-DQB1,HLA-DOB,HLA-DMA,HLA-DPB1,SLC22A7,ENPP4,SLC25A27,TMEM30A,ELOVL4,KIAA1919,FAM26F,FAM162B,RNF217,SLC22A1,AGPAT4,C1GALT1,TOMM7,AQP1,ADCYAP1R1,TMED4,ZP3,UPK3B,TMEM60,BRI3,PILRA,MUC3A,TSPAN33,MEST,TAS2R4,TMEM139,GIMAP5,TMEM176B,TMEM176A,LMBR1,SLC39A14,ADRA1A,FUT10,SMIM19,HGSNAT,NPBWR1,XKR9,LAPTM4B,CD274,ERMP1,ZDHHC21,ACER2,NPR2,HRCT1,SLC28A3,COL15A1,ZDHHC12,FAM73B,PPAPDC3,SURF1,WDFY4,TMEM26,SLC29A3,MARCH5,ZDHHC16,TMEM180,SLC18A2,SFXN4,CDHR5,DRD4,NCR3LG1,KCNJ11,TMEM86A,ANO5,HSD17B12,SLC35C1,LRP4,MS4A14,MYRF,FADS3,SLC22A10,YIF1A,CD248,PTPRCAP,MOGAT2,SLC36A4,PANX1,ROBO3,TMEM218,FOXRED1,KIRREL3,CD9,CLECL1,CLEC12A,KLRD1,TAS2R10,SLC11A2,GPR182,GLIPR1L2,TMTC2,IKBIP,TMEM116,TMEM233,ABCB9,TMEM132D,STX2,DNAJC15,SMIM2,GPR180,TNFSF13B,LTB4R,ADCY4,SPTSSA,SLC38A6,TMEM63C,IFI27L1,SPPL2A,CD276,SCAMP5,ABHD2,SEMA4B,LYSMD4,ITFG3,LMF1,VASN,TMC5,GDPD3,VKORC1,TMED6,CMTR2,MARVELD3,PKD1L2,MBTPS1,SLC22A31,MC1R,TRPV1,CTNS,RNF167,TMEM220,PEMT,TVP23B,CPD,GOSR1,TMEM132E,PGAP3,TMEM99,RAMP2,LRRC37A,LRRC37A2,ABCA10,KCNJ16,SLC25A19,MXRA7,ENPP7,TSPAN10,COLEC12,FAM210A,SCAMP4,SLC39A3,C19orf77,MFSD12,TNFSF14,TECR,CYP4F3,TMEM147,CEACAM21,FKRP,SLC6A16,SIGLEC12,SIRPB2,ADAM33,SPTLC3,SLC9A8,MTG2,TMEM50B,ICOSLG,SLC2A11,ADORA2A,GGT1,GALR3,NPTXR,SLC25A17,FAM118A,ARSA	Liver	LDL direct (30780)	CAD_HARD	3_Liver_30780_CAD_HARD
clathrin-coated pit	-0.000284488436400119	9.00324838659909e-06	-0.000336161319534787	4.35763306156042e-05	-31.5984213901692	-7.71430991976206	8.48585461512044e-219	1.21638569551896e-14	9.88275683637872e-217	3.76861884956706e-12	GO	3	53	SORT1,SELE,RAMP2	Liver	LDL direct (30780)	CAD_HARD	4_Liver_30780_CAD_HARD
homophilic cell adhesion via plasma membrane adhesion molecules	-0.000300235144666901	1.24158386265603e-05	-0.000302870087052551	5.9468624198893e-05	-24.1816242701986	-5.09293919495431	4.54413920615432e-129	3.5255479299623e-07	3.82212597673202e-127	2.66883978298146e-05	GO	6	136	CELSR2,AMIGO1,PIK3CB,PCDH7,PCDHGC3,CDHR5	Liver	LDL direct (30780)	CAD_HARD	4_Liver_30780_CAD_HARD
neuropeptide signaling pathway	-0.000431998946116096	1.10288036229236e-05	-0.000357343435240397	5.31740497350223e-05	-39.1700642142344	-6.72025992041449	0	1.8140068524853e-11	0	2.49673306787523e-09	GO	6	94	LPHN2,CELSR2,SORT1,NMUR1,PKD1L2,GALR3	Liver	LDL direct (30780)	CAD_HARD	4_Liver_30780_CAD_HARD
vesicle organization	-0.000274187689029133	7.33380770136403e-06	-0.000290589987581469	3.50823178652119e-05	-37.3868118982908	-8.28308975187816	2.95867356688281e-305	1.20019897948748e-16	8.95886356052114e-303	9.08550627472025e-14	GO	2	13	SORT1,SNX11	Liver	LDL direct (30780)	CAD_HARD	4_Liver_30780_CAD_HARD
endosome membrane	-0.000302149231284499	2.02828606593874e-05	-0.000504608430606953	9.68624353492259e-05	-14.8967759705364	-5.20953689412874	3.59617380727416e-50	1.89312561838191e-07	1.64988095279184e-48	1.5920890428268e-05	GO	14	161	CLCN6,SORT1,ZFYVE20,HLA-DQA1,HLA-DQB1,HLA-DQA2,HLA-DOB,HLA-DMA,HLA-DPB1,TAB2,MRC1,VPS26A,VPS53,ANKFY1	Liver	LDL direct (30780)	CAD_HARD	5_Liver_30780_CAD_HARD
