pheno_type	n	pheno_id	covariates
Blood_biochemistry	30	30600,30610,30620,30630,30640,30650,30660,30670,30680,30690,30700,30710,30720,30730,30740,30750,30760,30770,30780,30790,30800,30810,30820,30830,30840,30850,30860,30870,30880,30890	PC 1-10,Sex,Age,6154_1,6154_2,6154_3,6154_5,6154_6,6154_4,6155_3,6155_7,6155_2,6155_5,6155_4,6155_1,6155_6,6179_2,6179_1,6179_3,6179_4,6179_5,6179_6,6153_2,6153_1,6153_3,6177_1,6177_2,6177_3
Blood_count	31	30000,30010,30020,30030,30040,30050,30060,30070,30080,30090,30100,30110,30120,30130,30140,30150,30160,30170,30180,30190,30200,30210,30220,30230,30240,30250,30260,30270,30280,30290,30300	PC 1-10,Sex,Age,6154_1,6154_2,6154_3,6154_5,6154_6,6154_4,6155_3,6155_7,6155_2,6155_5,6155_4,6155_1,6155_6,6179_2,6179_1,6179_3,6179_4,6179_5,6179_6,6153_2,6153_1,6153_3,6177_1,6177_2,6177_3
Blood_pressure	3	102,4079,4080	PC 1-10,Sex
Body_size_measures	4	48,49,21001,21002	PC 1-10,Sex
Bone-densitometry_of_heel	6	78,3143,3144,3146,3147,3148	PC 1-10,Sex
Diet	23	1488,1289,1299,1309,1319,1329,1339,1349,1359,1369,1379,1389,1408,1428_3,1428_0,1428_1,1428_2,1438,1458,1478,1498,1528,1548	PC 1-10,Sex
Family_history	40	20107_1,20107_100,20107_2,20107_6,20107_8,20107_4,20107_3,20107_11,20107_9,20107_10,20107_13,20107_12,20107_101,20110_100,20110_1,20110_3,20110_8,20110_4,20110_5,20110_11,20110_2,20110_10,20110_9,20110_6,20110_12,20110_101,20111_100,20111_12,20111_13,20111_3,20111_8,20111_9,20111_5,20111_6,20111_10,20111_1,20111_4,20111_2,20111_11,20111_101	PC 1-10,Sex
Hand_grip_strength	2	46,47	PC 1-10,Sex
ICD10_Circulatory_system	64	41270_I05,41270_I07,41270_I08,41270_I10,41270_I11,41270_I12,41270_I15,41270_I20,41270_I21,41270_I22,41270_I23,41270_I24,41270_I25,41270_I26,41270_I27,41270_I28,41270_I30,41270_I31,41270_I33,41270_I34,41270_I35,41270_I36,41270_I37,41270_I38,41270_I42,41270_I44,41270_I45,41270_I46,41270_I47,41270_I48,41270_I49,41270_I50,41270_I51,41270_I60,41270_I61,41270_I62,41270_I63,41270_I64,41270_I65,41270_I66,41270_I67,41270_I69,41270_I70,41270_I71,41270_I72,41270_I73,41270_I74,41270_I77,41270_I78,41270_I79,41270_I80,41270_I81,41270_I82,41270_I83,41270_I84,41270_I85,41270_I86,41270_I87,41270_I88,41270_I89,41270_I95,41270_I97,41270_I98,41270_I99	PC 1-10,Sex
ICD10_Endocrine	36	41270_E03,41270_E04,41270_E05,41270_E06,41270_E07,41270_E10,41270_E11,41270_E13,41270_E14,41270_E16,41270_E20,41270_E21,41270_E22,41270_E23,41270_E24,41270_E26,41270_E27,41270_E28,41270_E29,41270_E34,41270_E46,41270_E53,41270_E55,41270_E61,41270_E65,41270_E66,41270_E73,41270_E74,41270_E78,41270_E80,41270_E83,41270_E85,41270_E86,41270_E87,41270_E88,41270_E89	PC 1-10,Sex
Impedance_measures	5	23099,23100,23101,23102,23105	PC 1-10,Sex
Mental_health	26	1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020,2030,2040,4526,4537,4548,4559,4570,4581,4609,4620,5375,5386,5663,5674,20127	PC 1-10,Sex
Physical_activity	32	864,874,884,894,904,914,924,943,971,981,991,1001,1011,1021,1070,1080,1090,2624,2634,3637,3647,6162_2,6162_3,6162_1,6162_4,6162_100,6164_4,6164_1,6164_2,6164_100,6164_5,6164_3	PC 1-10,Sex
Smoking	14	1239,1249,1259,1269,1279,2644,2867,3436,3456,5959,20116_0,20116_1,20116_2,20160	PC 1-10,Sex
