name	exp_beta	exp_se	out_beta	out_se	exp_z	out_z	exp_pvalue	out_pvalue	exp_pvalue_FDR	out_pvalue_FDR	database	ngenes_tscore	ngenes_path	genes_path	tissue	exposure	name_outcome	class_path
Interferon Signaling	0.000144604176039357	2.65320529767392e-05	0.123329014201206	0.0331718742215436	5.45016912811581	3.7178789892164	5.03584718020823e-08	0.000200902458472144	9.96801515376512e-07	0.00551644667221429	Reactome	18	200	GBP3,TRIM45,IRF6,TRIM2,IRF4,HLA-G,HLA-H,HLA-A,HLA-C,HLA-DRB5,HLA-DRB1,HLA-DQA1,HLA-DQB1,HLA-DQA2,HLA-DPB1,NUPL2,NUP107,NUP85	Brain_Caudate_basal_ganglia	Aspartate aminotransferase (30650)	Dx	1_Brain_Caudate_basal_ganglia_30650_Dx
plasma membrane	0.000295966962543951	9.91394661381228e-05	0.418549459829	0.12778186147878	2.98535965617976	3.27549978522192	0.00283266214234236	0.00105475194558171	0.0186190675852504	0.0305869310460958	GO	213	3530	TNFRSF14,CLCNKA,HTR1D,CNKSR1,NKAIN1,INPP5B,ERMAP,SLC5A9,SLC1A7,MCOLN3,SLC44A3,SEMA6C,PIP5K1A,S100A9,ATP1A4,SERPINC1,RAB7L1,CR1,CD46,OR2W3,OR2T8,OR2L13,NTSR2,KCNK3,RTN4,VAMP5,CNNM4,IL18R1,MERTK,RALB,PROC,ITGAV,SEPT2,OXTR,HDAC11,SLC4A7,SCN11A,CDCP1,CAMKV,MST1R,CNTN3,PVRL3,TIGIT,MGLL,RYK,PLCH1,RGS12,CD38,ATP8A1,KDR,PTPN13,SNCA,FAT4,NPY2R,KLKB1,F11,SLC9A3,PTGER4,MAP1B,ARRDC3,KCNN2,SLC27A6,UBE2B,PCDHA4,PCDHA13,PCDHB4,PCDHB10,SLC36A1,FLT4,EXOC2,DTNBP1,BTN3A2,HLA-G,HLA-A,HLA-C,NEU1,C4A,HLA-DRB5,HLA-DRB1,HLA-DQA1,HLA-DQB1,HLA-DQA2,TAP2,HLA-DPB1,TULP1,C6orf89,FRS3,ENPP5,MCHR2,RAET1G,SLC22A3,GPR146,KLHL7,OSBPL3,BBS9,CLDN4,ZP3,UPK3B,GNAI1,STEAP2,TRIM4,PILRA,CAV2,MET,ARHGEF5,PSCA,LY6K,PDCD1LG2,AQP7,GBA2,TMEM8B,OR13J1,NAA35,SEMA4D,CTNNAL1,SLC2A8,SEPHS1,NMT2,ITGA8,CUBN,MRC1,PRKG1,TACR2,CDHR1,OPN4,SNCG,FAS,TECTB,ANO9,CDHR5,NCR3LG1,ABCC8,LRP4,DRD2,TMPRSS5,HTR3A,HYLS1,CDON,TULP3,TAPBPL,KLRG1,CLECL1,KLRC2,KLRC1,TAS2R14,ABCC9,ALG10B,LRRK2,RHEBL1,AQP5,LIMA1,TENC1,ERBB3,CMKLR1,FZD10,FLT1,UBL3,FREM2,GPC6,PRKCH,CHRM5,EHD4,TRPM7,SPPL2A,CA12,IGDCC4,DIS3L,CHRNA5,CHRNA3,MTHFS,HOMER2,RCCD1,HMOX2,MGRN1,TNFRSF17,LAT,CDH5,CDH1,PLCG2,MC1R,FAM57A,CRK,CTNS,TAX1BP3,FLCN,ARL4D,ITGB3,GNA13,ABCA8,MIB1,NPC1,CDH19,GNG7,MCOLN1,OR7D2,SLC7A9,CEACAM1,KCNN4,CCDC8,PTGIR,SIGLEC14,GP6,SIRPB1,JAG1,CTSZ,TMEM50B,IGSF5,TRPM2,SNAP29,BCR,CSF2RB,TST,BAIAP2L2	Brain_Caudate_basal_ganglia	Aspartate aminotransferase (30650)	Dx	1_Brain_Caudate_basal_ganglia_30650_Dx
immune response	0.000163044849661436	3.03979645724153e-05	0.129055984932969	0.0429891461778047	5.36367654725778	3.0020597385021	8.16005088063872e-08	0.00268159546913935	2.09946451943291e-06	0.0504493565183139	GO	29	369	TNFRSF14,PXDN,IL1RL1,IL18R1,LY75,PTGER4,IL13,HLA-G,HLA-A,HLA-C,HLA-DRB5,HLA-DRB1,HLA-DQA1,HLA-DQB1,HLA-DQA2,HLA-DOB,HLA-DPB1,RAET1G,DEFB1,PDCD1LG2,SEMA4D,IKBKAP,FAS,CMKLR1,DPP8,LAT,CCL2,CCL3,IGLL1	Brain_Caudate_basal_ganglia	Aspartate aminotransferase (30650)	Dx	1_Brain_Caudate_basal_ganglia_30650_Dx
Lipid particle organization	-6.01924584760183e-05	9.10419580165828e-06	-0.0384572697231741	0.0125815499759532	-6.61150746176336	-3.05664006395685	3.81012348052374e-11	0.00223832878021508	1.22105385828213e-09	0.0307303888783695	Reactome	2	6	CIDEC,HSD17B13	Brain_Caudate_basal_ganglia	Aspartate aminotransferase (30650)	Dx	2_Brain_Caudate_basal_ganglia_30650_Dx
PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	-5.98771457756308e-05	1.43950935810106e-05	-0.0901300581255816	0.0219228586571106	-4.15955238072354	-4.11123656523454	3.18953859391628e-05	3.93545721087329e-05	0.000330239919031639	0.00185247592997536	Reactome	6	96	PIP5K1A,IL1RL1,IER3,MET,PPP2R1B,ERBB3	Brain_Caudate_basal_ganglia	Aspartate aminotransferase (30650)	Dx	3_Brain_Caudate_basal_ganglia_30650_Dx
double-strand break repair via homologous recombination	6.00235275613668e-05	1.7051135239123e-05	0.0401096590881006	0.0234852132153029	3.52020711346221	1.70786863718849	0.00043126905381209	0.0876607197645033	0.0039427186087085	0.367814825177381	GO	7	54	XRCC2,MRE11A,MORF4L1,MEIOB,ZSWIM7,RBBP8,MCM8	Brain_Caudate_basal_ganglia	Aspartate aminotransferase (30650)	Dx	4_Brain_Caudate_basal_ganglia_30650_Dx
spindle pole	-6.99493411051594e-05	1.57752759338714e-05	-0.0356706561792848	0.0235633405868204	-4.43411204966437	-1.51381999712029	9.24828567709966e-06	0.130071499358542	0.000151419659131423	0.442708562429074	GO	7	90	CEP85,CEP19,TNKS,DDX11,KNSTRN,FBF1,CDC25B	Brain_Caudate_basal_ganglia	Aspartate aminotransferase (30650)	Dx	5_Brain_Caudate_basal_ganglia_30650_Dx
response to hypoxia	-0.000111248143165242	3.086933570235e-05	-0.0630919487396928	0.0366765331576241	-3.60383988298047	-1.72022662198043	0.000313597186314713	0.0853912556361032	0.00312037863288839	0.363642635156584	GO	17	166	ARNT,ERCC3,LIMD1,CD38,UBE2B,SLC2A8,DDIT4,UCP2,DRD2,SMAD9,PGF,CYP1A1,HMOX2,ALDH3A1,NOS2,CCL2,TXN2	Brain_Caudate_basal_ganglia	Aspartate aminotransferase (30650)	Dx	6_Brain_Caudate_basal_ganglia_30650_Dx
aging	-5.87202954060916e-05	2.23174762672255e-05	-0.0541742768064236	0.0296836885387951	-2.63113511146983	-1.82505205630427	0.00851042222597275	0.0679931741489114	0.0437922012256484	0.322449623664643	GO	11	120	AGT,GPX1,SNCA,BAK1,CASP7,UCP2,CYP1A1,AMFR,ENO3,ALDH3A1,CCL2	Brain_Caudate_basal_ganglia	Aspartate aminotransferase (30650)	Dx	6_Brain_Caudate_basal_ganglia_30650_Dx
response to organic cyclic compound	-0.000100234859557701	2.41427859150062e-05	-0.0498068276603086	0.0295130829125893	-4.15175199376636	-1.68761859978588	3.30023913619197e-05	0.0914844664566424	0.000468010290100924	0.378038515750257	GO	11	131	OXTR,GPX1,IGFBP7,TPMT,BAK1,MGMT,CYP1A1,DHODH,ALDH3A1,GSTT1,TXN2	Brain_Caudate_basal_ganglia	Aspartate aminotransferase (30650)	Dx	6_Brain_Caudate_basal_ganglia_30650_Dx
