name	exp_beta	exp_se	out_beta	out_se	exp_z	out_z	exp_pvalue	out_pvalue	exp_pvalue_FDR	out_pvalue_FDR	database	ngenes_tscore	ngenes_path	genes_path	tissue	exposure	outcome	class_path
DAP12 interactions	-0.110506938497448	0.0217417548457616	-8.39285467315059e-05	1.64060626201341e-05	-5.08270557190053	-5.11570318087814	3.72096249230293e-07	3.1274581927774e-07	0.000102400887788177	8.81317718724673e-05	Reactome	7	44	VAV3,HLA-C,HLA-B,TREM2,KLRC2,KRAS,GRB2	DLPC_CMC	Dx	Time to complete round (400)	1_DLPC_CMC_Dx_400
positive regulation of T cell mediated cytotoxicity	-0.14152423528043	0.0294081011491625	-0.000103394089977407	2.0420688978714e-05	-4.81242343946645	-5.06320281774932	1.49111002355825e-06	4.12488271220435e-07	0.000318826434128092	0.000156682083329731	GO	13	22	MR1,IL12A,HFE,HLA-F,HLA-A,HLA-C,HLA-B,TAP2,TAP1,AZGP1,FADD,P2RX7,IL12RB1	DLPC_CMC	Dx	Time to complete round (400)	1_DLPC_CMC_Dx_400
regulation of immune response	-0.118766176848262	0.0384324406480519	-4.94438681875381e-05	2.64469934533823e-05	-3.09025851196578	-1.86954590035696	0.0019998235325809	0.0615477741592792	0.0492521984149767	0.307303244487888	GO	21	91	FCGR3A,SELL,CD34,CD8A,ITGA4,CD200,HLA-F,HLA-A,HLA-C,HLA-B,MICA,SH2B2,CD81,KLRG1,SPPL2A,CDH1,ICAM3,PVR,LILRB1,CD40,ITGB2	DLPC_CMC	Dx	Time to complete round (400)	1_DLPC_CMC_Dx_400
Glyoxylate metabolism and glycine degradation	0.102494448603253	0.0334256979011331	4.79531448911402e-05	2.42832392984761e-05	3.06633683181163	1.97474250867962	0.00216699046313832	0.0482981947617203	0.0458735211888974	0.261739063151015	Reactome	14	31	DBT,LIPT1,PDHB,LIAS,BCKDHB,DDO,DLD,GLDC,GRHPR,HOGA1,PDHX,PXMP2,DLST,GOT2	DLPC_CMC	Dx	Time to complete round (400)	2_DLPC_CMC_Dx_400
tRNA modification in the nucleus and cytosol	-0.153951551460937	0.0386726207544091	-4.0180465401463e-05	2.86649425382073e-05	-3.98089264336669	-1.40172844748971	6.86569544378446e-05	0.160997277313335	0.0050086091584712	0.459200736304633	Reactome	19	43	TRIT1,TYW3,TYW5,TRMT44,TRMT10A,NSUN2,THG1L,CDKAL1,ADAT2,TYW1,KIAA1456,URM1,NSUN6,ALKBH8,PUS1,OSGEP,TRMT61A,DUS2,ADAT1	DLPC_CMC	Dx	Time to complete round (400)	3_DLPC_CMC_Dx_400
chromatin binding	-0.260423467639298	0.079080038192212	-8.88524954933202e-05	5.71713214695207e-05	-3.2931631495462	-1.55414451178445	0.000990669707012632	0.120150892842889	0.0302604565051131	0.436896251000138	GO	77	350	APITD1,EYA3,RCC1,DMAP1,TAL1,PRKAA2,MYSM1,RNF2,UBE2T,NCOA1,MEIS1,SP3,NEUROD1,SF3B1,PPARG,CTNNB1,DHX30,SKIL,PPARGC1A,SLC30A9,POLR2B,PRDM8,TIGD4,PRIMPOL,BDP1,ZKSCAN3,BRD2,RNF8,RUNX2,ASF1A,ESR1,EGFR,ZNHIT1,FOXP2,MKRN1,IFT74,APTX,SVEP1,CDK9,TTF1,BRD3,NOTCH1,ERCC6,TFAM,HHEX,HELLS,MCMBP,PRDM11,EED,HINFP,RAN,POLE,TDRD3,TTC5,AJUBA,FANCM,WDHD1,ELMSAN1,MLH3,RCOR1,POLG,MEF2A,ZKSCAN2,KDM8,NFATC3,TERF2,TADA2A,PCGF2,SMARCE1,CHAF1A,ZNF431,SUPT5H,NUP62,POLD1,CHAF1B,CBX7,EP300	DLPC_CMC	Dx	Time to complete round (400)	4_DLPC_CMC_Dx_400
scavenger receptor activity	0.111900444681858	0.0295223910243559	5.3895000330857e-05	2.16694689318423e-05	3.79035846349777	2.48713987871022	0.00015043003198418	0.0128779575713235	0.00822817291225098	0.133876535762516	GO	11	48	ACKR2,CORIN,PRSS12,PGBD1,TINAG,ENPP1,SCARA3,SBSPON,TMPRSS5,CD163L1,HHIPL1	DLPC_CMC	Dx	Time to complete round (400)	5_DLPC_CMC_Dx_400
transporter activity	-0.25823548587037	0.0759272874869385	-6.32335187602365e-05	5.37283627284296e-05	-3.40108931080666	-1.17691132856311	0.000671178957744829	0.239231734805306	0.0246658266971225	0.586916516225225	GO	70	244	ABCA4,AP4B1,SLC5A6,XPO1,MFSD9,ATP5G3,SLC4A7,SLC15A2,RBP1,SLC51A,WFS1,SV2C,SLCO4C1,TAP2,TAP1,CLVS2,STEAP1,STEAP2,SLC25A13,AP4M1,SLC13A4,SLC37A3,ABCF2,TTPA,SLCO5A1,PMP2,CPNE3,ATP6V1C1,LCN15,LCN12,CUBN,SLC22A18,SYT9,TIMM10,AQP11,GRIA4,SLC37A2,SLCO1C1,SLCO1A2,ABCC9,SYT10,SLC4A8,ATP5G2,SLC15A4,GOLGA3,OCA2,SLC12A6,AQP9,AP3B2,RLBP1,SV2B,GRIN2A,ABCC1,DOC2A,CPNE7,VPS9D1,NUP88,SLC46A1,ATP5G1,SYT4,SYT5,CPNE1,SLC13A3,ATP5O,SLC37A1,AP1B1,SEC14L6,SLC25A17,PACSIN2,MLC1	DLPC_CMC	Dx	Time to complete round (400)	6_DLPC_CMC_Dx_400
nucleoplasm	-0.705178941858366	0.156087330936015	-0.000139092632347014	0.000113364720639801	-4.51784867887478	-1.22694813308772	6.24711021029011e-06	0.219842946763573	0.000921495362570758	0.56131565207783	GO	301	1019	DFFB,NMNAT1,NUDC,RPA2,DNAJC8,RCC1,SF3A3,NFYC,MED8,PRKAA2,ITGB3BP,SRSF11,CDC7,RTCA,DDX20,ARNT,PSMD4,PSMB4,ADAR,IFI16,RXRG,UBE2T,H3F3A,PARP1,TAF1B,GRHL1,NCOA1,CENPO,GTF3C2,PPP1CB,LRPPRC,EPAS1,FANCL,XPO1,POLR1A,POLR1B,ERCC3,POLR2D,CCNT2,MCM6,ORC4,NEUROD1,SF3B1,WDR12,CARF,CREB1,VHL,TATDN2,PPARG,NR2C2,KAT2B,THRB,CTNNB1,CDC25A,ATRIP,IP6K2,GNL3,PRKCD,SHQ1,POLQ,EAF2,HLTF,KPNA4,NMD3,SKIL,SENP2,RFC4,NCBP2,PPARGC1A,ANAPC4,PDS5A,POLR2B,NUP54,LIN54,CASP6,LARP7,IRF2,CASP3,SKP2,CCNO,ERCC8,CENPH,CDK7,TAF9,BDP1,DHFR,XRCC4,POLR3G,CAMK4,CDC23,SQSTM1,MAPK9,HIST1H4B,HIST1H4C,HIST1H4F,HIST1H4H,NOTCH4,PSMB8,PSMB9,TAF11,FANCE,MED20,CENPQ,MCM3,MYO6,RNGTT,SRSF12,HEY2,ESR1,WTAP,RPS6KA2,PSMB1,RPA3,HNRNPA2B1,SBDS,MLXIPL,CPSF4,MCM7,ORC5,POT1,NRF1,CUL1,WRN,MCM4,HEY1,E2F5,EIF3E,RAD21,MED30,DSCC1,SNAPC3,APTX,FANCG,HNRNPK,CENPP,TXN,PSMD5,CDK9,SETX,TTF1,SURF6,NOTCH1,OPTN,MASTL,MAPK8,ERCC6,IPMK,CDK1,DNA2,ANXA11,WAPAL,KIF20B,CASP7,MGMT,BNIP3,PSMD13,RRM1,TAF10,ZNF143,GTF2H1,FANCF,ALKBH3,PSMC3,FEN1,BANF1,SF3B2,NUMA1,RNF169,PCF11,MED17,MRE11A,ATM,H2AFX,HINFP,CHEK1,RAD52,DDX11,ZCRB1,SENP1,MCRS1,SMUG1,PRIM1,STAT6,YEATS4,UTP20,RBM19,SRSF9,GTF2H3,RAN,POLE,GTF3A,POLR1D,BRCA2,SMAD9,MED4,RB1,STK24,ERCC5,LIG4,CDC16,PARP2,PSMB5,FANCM,WDHD1,SNAPC1,SYNE2,SRSF5,LIN52,SNW1,ATXN3,CPSF2,VRK1,RCOR1,NPAP1,TP53BP1,RNF111,GTF2A2,SNAPC5,PSMA4,AEN,CIB1,MEF2A,NTHL1,RNPS1,ERCC4,RRN3,POLR3E,PALB2,MAPK3,CHD9,RBL2,E2F4,NFATC3,TERF2,SF3B3,DHX38,TAF1C,FANCA,GEMIN4,PSMB6,POLR2A,LIG3,MED24,PTRF,BRCA1,DUSP3,RAD51C,MED13,PSMC5,SRSF2,PTPN2,ESCO1,TAF4B,SMAD7,POLI,NFATC1,TXNL4A,SIRT6,XAB2,ELL,UBA52,MAU2,POLR2I,SUPT5H,SNRPA,XRCC1,ZNF45,GEMIN7,ERCC2,SNRPD2,SYMPK,PLA2G4C,LIG1,SNRNP70,TEAD2,POLD1,PSMF1,CDC25B,MCM8,SNRPB2,POLR3F,INSM1,GZF1,E2F1,RBL1,NELFCD,PRPF6,CHAF1B,ADARB1,MCM3AP,DGCR8,SMARCB1,XBP1,H1F0,ATF4,EP300,POLR3H,NHP2L1,NUP50,MAPK12,MAPK11	DLPC_CMC	Dx	Time to complete round (400)	7_DLPC_CMC_Dx_400
rough endoplasmic reticulum	-0.109454116827121	0.0347005654093878	-4.91653323388284e-05	2.58651020206009e-05	-3.15424591892988	-1.90083659054078	0.00160913428116355	0.0573242757233162	0.0432535294776762	0.297912746832082	GO	15	36	RPN1,EPHA5,SNCA,MTTP,LRAT,ARSB,CDKAL1,ADCYAP1R1,HTR5A,SPPL3,PSEN1,CA4,KCNJ2,FKRP,STAU1	DLPC_CMC	Dx	Time to complete round (400)	8_DLPC_CMC_Dx_400
