pheno_type	n	pheno_id	covariates
Blood_biochemistry	30	30600,30610,30620,30630,30640,30650,30660,30670,30680,30690,30700,30710,30720,30730,30740,30750,30760,30770,30780,30790,30800,30810,30820,30830,30840,30850,30860,30870,30880,30890	PC 1-10,Sex,Age
Blood_count	31	30000,30010,30020,30030,30040,30050,30060,30070,30080,30090,30100,30110,30120,30130,30140,30150,30160,30170,30180,30190,30200,30210,30220,30230,30240,30250,30260,30270,30280,30290,30300	PC 1-10,Sex,Age
Blood_count_ratio	4	LMR,PLR,NLR,ELR	PC 1-10,Sex,Age
Cannabis_use	2	20453,20454	PC 1-10,Sex,Age
Fluid_intelligence	15	4935,4946,4957,4968,4979,4990,5001,5012,5556,5699,5779,5790,5866,20016,20128	PC 1-10,Sex,Age
Mental_health	42	1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,4526,4537,4548,4559,4570,4581,4598,4609,4620,4631,4642,4653,5375,5386,5663,5674,6156_13,6156_12,6156_100,6156_11,6156_15,6156_14,20127	PC 1-10,Sex,Age
Pairs_matching	2	398,400	PC 1-10,Sex,Age
Prospective_memory	2	4288,20018	PC 1-10,Sex,Age
Reaction_time	3	403,404,20023	PC 1-10,Sex,Age
Smoking	5	1239,1249,2644,3456,20160	PC 1-10,Sex,Age
Trail_making	8	20147,20148,20149,20155,20156,20157,20247,20248	PC 1-10,Sex,Age
