pheno_id	FieldID	Field	Path	Strata	Sexed	Coding	Coding_meaning	original_type	transformed_type	nsamples	nsamples_T	nsamples_F
userId	NA	NA	NA	NA	NA	NA	NA	NA	NA	340943	NA	NA
age	21003	Age	NA	NA	NA	NA	NA	NA	NA	340943	NA	NA
sex	31	Sex	NA	NA	NA	NA	NA	NA	NA	340943	NA	NA
129	129	Place of birth in UK - north co-ordinate	UK Biobank Assessment Centre > Verbal interview > Early life factors	Primary	Unisex	170	NA	INTEGER	CONTINUOUS	328055	NA	NA
130	130	Place of birth in UK - east co-ordinate	UK Biobank Assessment Centre > Verbal interview > Early life factors	Primary	Unisex	170	NA	INTEGER	CONTINUOUS	328055	NA	NA
189	189	Townsend deprivation index at recruitment	Population characteristics > Baseline characteristics	Derived	Unisex	NA	NA	CONTINUOUS_MAIN	CONTINUOUS	340519	NA	NA
398	398	Number of correct matches in round	UK Biobank Assessment Centre > Cognitive function > Pairs matching	Primary	Unisex	NA	NA	INTEGER	CAT_ORD	340943	NA	NA
399	399	Number of incorrect matches in round	UK Biobank Assessment Centre > Cognitive function > Pairs matching	Primary	Unisex	NA	NA	INTEGER	CONTINUOUS	340943	NA	NA
400	400	Time to complete round	UK Biobank Assessment Centre > Cognitive function > Pairs matching	Primary	Unisex	402	NA	INTEGER	CONTINUOUS	335562	NA	NA
403	403	Number of times snap-button pressed	UK Biobank Assessment Centre > Cognitive function > Reaction time	Primary	Unisex	NA	NA	INTEGER	CAT_ORD	340075	NA	NA
404	404	Duration to first press of snap-button in each round	UK Biobank Assessment Centre > Cognitive function > Reaction time	Primary	Unisex	NA	NA	INTEGER	CONTINUOUS	339027	NA	NA
757	757	Time employed in main current job	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment	Primary	Unisex	100290	NA	INTEGER	CONTINUOUS	182618	NA	NA
767	767	Length of working week for main job	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment	Primary	Unisex	100291	NA	INTEGER	CONTINUOUS	190329	NA	NA
777	777	Frequency of travelling from home to job workplace	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment	Primary	Unisex	100298	NA	INTEGER	CAT_ORD	189563	NA	NA
796	796	Distance between home and job workplace	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment	Primary	Unisex	100300	NA	INTEGER	CONTINUOUS	163067	NA	NA
806	806	Job involves mainly walking or standing	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment	Primary	Unisex	100301	NA	CAT_SINGLE	CAT_ORD	192846	NA	NA
816	816	Job involves heavy manual or physical work	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment	Primary	Unisex	100301	NA	CAT_SINGLE	CAT_ORD	192879	NA	NA
826	826	Job involves shift work	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment	Primary	Unisex	100301	NA	CAT_SINGLE	CAT_ORD	192674	NA	NA
1031	1031	Frequency of friend/family visits	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Social support	Primary	Unisex	100327	NA	CAT_SINGLE	CAT_ORD	339318	NA	NA
1050	1050	Time spend outdoors in summer	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure	Primary	Unisex	100329	NA	INTEGER	CAT_ORD	310060	NA	NA
1060	1060	Time spent outdoors in winter	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure	Primary	Unisex	100329	NA	INTEGER	CAT_ORD	269498	NA	NA
1160	1160	Sleep duration	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sleep	Primary	Unisex	100291	NA	INTEGER	CAT_ORD	339135	NA	NA
1170	1170	Getting up in morning	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sleep	Primary	Unisex	100341	NA	CAT_SINGLE	CAT_ORD	340558	NA	NA
1180	1180	Morning/evening person (chronotype)	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sleep	Primary	Unisex	100342	NA	CAT_SINGLE	CAT_ORD	304866	NA	NA
1190	1190	Nap during day	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sleep	Primary	Unisex	100343	NA	CAT_SINGLE	CAT_ORD	340820	NA	NA
1200	1200	Sleeplessness / insomnia	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sleep	Primary	Unisex	100343	NA	CAT_SINGLE	CAT_ORD	340704	NA	NA
1210	1210	Snoring	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sleep	Primary	Unisex	100345	NA	CAT_SINGLE	CAT_SINGLE_BINARY	317829	NA	NA
1220	1220	Daytime dozing / sleeping (narcolepsy)	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sleep	Primary	Unisex	100346	NA	CAT_SINGLE	CAT_ORD	339828	NA	NA
1239	1239	Current tobacco smoking	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking	Primary	Unisex	100347	NA	CAT_SINGLE	CAT_ORD	340784	NA	NA
1249	1249	Past tobacco smoking	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking	Primary	Unisex	100348	NA	CAT_SINGLE	CAT_ORD	313703	NA	NA
1259	1259	Smoking/smokers in household	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking	Primary	Unisex	100370	NA	CAT_SINGLE	CAT_ORD	314388	NA	NA
1269	1269	Exposure to tobacco smoke at home	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking	Primary	Unisex	100291	NA	INTEGER	CAT_ORD	308498	NA	NA
1279	1279	Exposure to tobacco smoke outside home	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking	Primary	Unisex	100291	NA	INTEGER	CAT_ORD	289164	NA	NA
1677	1677	Breastfed as a baby	UK Biobank Assessment Centre > Touchscreen > Early life factors	Primary	Unisex	100349	NA	CAT_SINGLE	CAT_SINGLE_BINARY	258553	NA	NA
1687	1687	Comparative body size at age 10	UK Biobank Assessment Centre > Touchscreen > Early life factors	Primary	Unisex	100428	NA	CAT_SINGLE	CAT_ORD	335334	NA	NA
1697	1697	Comparative height size at age 10	UK Biobank Assessment Centre > Touchscreen > Early life factors	Primary	Unisex	100429	NA	CAT_SINGLE	CAT_ORD	335700	NA	NA
1707_1	1707	Handedness (chirality/laterality)	UK Biobank Assessment Centre > Touchscreen > Early life factors	Primary	Unisex	100430	Right-handed	CAT_SINGLE	CAT_SINGLE_UNORDERED	340879	302664	38215
1707_2	1707	Handedness (chirality/laterality)	UK Biobank Assessment Centre > Touchscreen > Early life factors	Primary	Unisex	100430	Left-handed	CAT_SINGLE	CAT_SINGLE_UNORDERED	340879	32689	308190
1707_3	1707	Handedness (chirality/laterality)	UK Biobank Assessment Centre > Touchscreen > Early life factors	Primary	Unisex	100430	Use both right and left hands equally	CAT_SINGLE	CAT_SINGLE_UNORDERED	340879	5526	335353
1717	1717	Skin colour	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure	Primary	Unisex	100431	NA	CAT_SINGLE	CAT_ORD	336799	NA	NA
1727	1727	Ease of skin tanning	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure	Primary	Unisex	100432	NA	CAT_SINGLE	CAT_ORD	334452	NA	NA
1737	1737	Childhood sunburn occasions	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure	Primary	Unisex	100291	NA	INTEGER	CAT_ORD	254784	NA	NA
1747_3	1747	Hair colour (natural, before greying)	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure	Primary	Unisex	100434	Light brown	CAT_SINGLE	CAT_SINGLE_UNORDERED	340283	140237	200046
1747_1	1747	Hair colour (natural, before greying)	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure	Primary	Unisex	100434	Blonde	CAT_SINGLE	CAT_SINGLE_UNORDERED	340283	38931	301352
1747_2	1747	Hair colour (natural, before greying)	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure	Primary	Unisex	100434	Red	CAT_SINGLE	CAT_SINGLE_UNORDERED	340283	15476	324807
1747_4	1747	Hair colour (natural, before greying)	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure	Primary	Unisex	100434	Dark brown	CAT_SINGLE	CAT_SINGLE_UNORDERED	340283	126961	213322
1747_5	1747	Hair colour (natural, before greying)	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure	Primary	Unisex	100434	Black	CAT_SINGLE	CAT_SINGLE_UNORDERED	340283	14413	325870
1747_6	1747	Hair colour (natural, before greying)	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure	Primary	Unisex	100434	Other	CAT_SINGLE	CAT_SINGLE_UNORDERED	340283	4265	336018
1757	1757	Facial ageing	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure	Primary	Unisex	100435	NA	CAT_SINGLE	CAT_ORD	312292	NA	NA
1767	1767	Adopted as a child	UK Biobank Assessment Centre > Touchscreen > Early life factors	Primary	Unisex	100349	NA	CAT_SINGLE	CAT_SINGLE_BINARY	340481	NA	NA
1777	1777	Part of a multiple birth	UK Biobank Assessment Centre > Touchscreen > Early life factors	Primary	Unisex	100349	NA	CAT_SINGLE	CAT_SINGLE_BINARY	336028	NA	NA
1787	1787	Maternal smoking around birth	UK Biobank Assessment Centre > Touchscreen > Early life factors	Primary	Unisex	100349	NA	CAT_SINGLE	CAT_SINGLE_BINARY	292911	NA	NA
2110	2110	Able to confide	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Social support	Primary	Unisex	100501	NA	CAT_SINGLE	CAT_ORD	331191	NA	NA
2267	2267	Use of sun/uv protection	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure	Primary	Unisex	100536	NA	CAT_SINGLE	CAT_ORD	339024	NA	NA
2277	2277	Frequency of solarium/sunlamp use	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure	Primary	Unisex	100537	NA	INTEGER	CAT_ORD	322236	NA	NA
2644	2644	Light smokers, at least 100 smokes in lifetime	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking	Primary	Unisex	100349	NA	CAT_SINGLE	CAT_SINGLE_BINARY	90225	NA	NA
2867	2867	Age started smoking in former smokers	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking	Primary	Unisex	100291	NA	INTEGER	CONTINUOUS	83799	NA	NA
2877_1	2877	Type of tobacco previously smoked	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking	Primary	Unisex	100351	Manufactured cigarettes	CAT_SINGLE	CAT_SINGLE_UNORDERED	84094	74743	9351
2877_2	2877	Type of tobacco previously smoked	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking	Primary	Unisex	100351	Hand-rolled cigarettes	CAT_SINGLE	CAT_SINGLE_UNORDERED	84094	5508	78586
2877_3	2877	Type of tobacco previously smoked	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking	Primary	Unisex	100351	Cigars or pipes	CAT_SINGLE	CAT_SINGLE_UNORDERED	84094	3843	80251
2887	2887	Number of cigarettes previously smoked daily	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking	Primary	Unisex	100353	NA	INTEGER	CAT_ORD	79684	NA	NA
2907	2907	Ever stopped smoking for 6+ months	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking	Primary	Unisex	100349	NA	CAT_SINGLE	CAT_SINGLE_BINARY	82945	NA	NA
2926	2926	Number of unsuccessful stop-smoking attempts	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking	Primary	Unisex	100291	NA	INTEGER	CAT_ORD	76553	NA	NA
2936	2936	Likelihood of resuming smoking	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking	Primary	Unisex	100369	NA	CAT_SINGLE	CAT_ORD	82280	NA	NA
3426	3426	Job involve night shift work	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment	Primary	Unisex	100301	NA	CAT_SINGLE	CAT_ORD	31250	NA	NA
3436	3436	Age started smoking in current smokers	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking	Primary	Unisex	100291	NA	INTEGER	CONTINUOUS	25824	NA	NA
3446_1	3446	Type of tobacco currently smoked	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking	Primary	Unisex	100351	Manufactured cigarettes	CAT_SINGLE	CAT_SINGLE_UNORDERED	26093	18102	7991
