pheno_id	FieldID	Field	Path	Strata	Sexed	Coding	Coding_meaning	original_type	transformed_type	nsamples	nsamples_T	nsamples_F
userId	NA	NA	NA	NA	NA	NA	NA	NA	NA	340939	NA	NA
age	21003	Age	NA	NA	NA	NA	NA	NA	NA	340939	NA	NA
sex	31	Sex	NA	NA	NA	NA	NA	NA	NA	340939	NA	NA
48	48	Waist circumference	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	Primary	Unisex	NA	NA	CONTINUOUS_MAIN	CONTINUOUS	340379	NA	NA
49	49	Hip circumference	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	Primary	Unisex	NA	NA	CONTINUOUS_MAIN	CONTINUOUS	340347	NA	NA
93	93	Systolic blood pressure, manual reading	UK Biobank Assessment Centre > Physical measures > Blood pressure	Primary	Unisex	NA	NA	INTEGER	CONTINUOUS	29241	NA	NA
94	94	Diastolic blood pressure, manual reading	UK Biobank Assessment Centre > Physical measures > Blood pressure	Primary	Unisex	NA	NA	INTEGER	CONTINUOUS	29241	NA	NA
102	102	Pulse rate, automated reading	UK Biobank Assessment Centre > Physical measures > Blood pressure	Primary	Unisex	NA	NA	INTEGER	CONTINUOUS	321326	NA	NA
189	189	Townsend deprivation index at recruitment	Population characteristics > Baseline characteristics	Derived	Unisex	NA	NA	CONTINUOUS_MAIN	CONTINUOUS	340515	NA	NA
1488	1488	Tea intake	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet	Primary	Unisex	100373	NA	INTEGER	CONTINUOUS	330153	NA	NA
1787	1787	Maternal smoking around birth	UK Biobank Assessment Centre > Touchscreen > Early life factors	Primary	Unisex	100349	NA	CAT_SINGLE	CAT_SINGLE_BINARY	292907	NA	NA
4079	4079	Diastolic blood pressure, automated reading	UK Biobank Assessment Centre > Physical measures > Blood pressure	Primary	Unisex	NA	NA	INTEGER	CONTINUOUS	321326	NA	NA
4080	4080	Systolic blood pressure, automated reading	UK Biobank Assessment Centre > Physical measures > Blood pressure	Primary	Unisex	NA	NA	INTEGER	CONTINUOUS	321323	NA	NA
4194	4194	Pulse rate	UK Biobank Assessment Centre > Physical measures > Arterial stiffness	Primary	Unisex	NA	NA	INTEGER	CONTINUOUS	111611	NA	NA
20074	20074	Home location at assessment - east co-ordinate (rounded)	UK Biobank Assessment Centre > Recruitment > Reception	Derived	Unisex	NA	NA	INTEGER	CONTINUOUS	337797	NA	NA
20075	20075	Home location at assessment - north co-ordinate (rounded)	UK Biobank Assessment Centre > Recruitment > Reception	Derived	Unisex	NA	NA	INTEGER	CONTINUOUS	337797	NA	NA
21001	21001	Body mass index (BMI)	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	Derived	Unisex	NA	NA	CONTINUOUS_MAIN	CONTINUOUS	339851	NA	NA
21002	21002	Weight	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	Derived	Unisex	NA	NA	CONTINUOUS_MAIN	CONTINUOUS	339977	NA	NA
23099	23099	Body fat percentage	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures	Derived	Unisex	NA	NA	CONTINUOUS_MAIN	CONTINUOUS	334805	NA	NA
23100	23100	Whole body fat mass	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures	Derived	Unisex	NA	NA	CONTINUOUS_MAIN	CONTINUOUS	334444	NA	NA
