pheno_id	FieldID	Field	Path	Strata	Sexed	Coding	Coding_meaning	original_type	transformed_type	nsamples	nsamples_T	nsamples_F	pheno_type	nsamples_CAD_SOFT_0	nsamples_CAD_SOFT_1	nsamples_CAD_SOFT_0_T	nsamples_CAD_SOFT_1_T	keep
userId	NA	NA	NA	NA	NA	NA	NA	NA	NA	340939	NA	NA	NA	NA	NA	NA	NA	FALSE
age	21003	Age	NA	NA	NA	NA	NA	NA	NA	340939	NA	NA	NA	NA	NA	NA	NA	FALSE
sex	31	Sex	NA	NA	NA	NA	NA	NA	NA	340939	NA	NA	NA	NA	NA	NA	NA	FALSE
48	48	Waist circumference	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	Primary	Unisex	NA	NA	CONTINUOUS_MAIN	CONTINUOUS	340379	NA	NA	Body_size_measures	308801	31578	NA	NA	TRUE
49	49	Hip circumference	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	Primary	Unisex	NA	NA	CONTINUOUS_MAIN	CONTINUOUS	340347	NA	NA	Body_size_measures	308780	31567	NA	NA	TRUE
93	93	Systolic blood pressure, manual reading	UK Biobank Assessment Centre > Physical measures > Blood pressure	Primary	Unisex	NA	NA	INTEGER	CONTINUOUS	29241	NA	NA	Blood_pressure	26387	2854	NA	NA	TRUE
94	94	Diastolic blood pressure, manual reading	UK Biobank Assessment Centre > Physical measures > Blood pressure	Primary	Unisex	NA	NA	INTEGER	CONTINUOUS	29241	NA	NA	Blood_pressure	26387	2854	NA	NA	TRUE
102	102	Pulse rate, automated reading	UK Biobank Assessment Centre > Physical measures > Blood pressure	Primary	Unisex	NA	NA	INTEGER	CONTINUOUS	321326	NA	NA	Blood_pressure	291538	29788	NA	NA	TRUE
189	189	Townsend deprivation index at recruitment	Population characteristics > Baseline characteristics	Derived	Unisex	NA	NA	CONTINUOUS_MAIN	CONTINUOUS	340515	NA	NA	NA	NA	NA	NA	NA	FALSE
1488	1488	Tea intake	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet	Primary	Unisex	100373	NA	INTEGER	CONTINUOUS	330153	NA	NA	Diet	299416	30737	NA	NA	TRUE
1787	1787	Maternal smoking around birth	UK Biobank Assessment Centre > Touchscreen > Early life factors	Primary	Unisex	100349	NA	CAT_SINGLE	CAT_SINGLE_BINARY	292907	NA	NA	NA	NA	NA	NA	NA	FALSE
4079	4079	Diastolic blood pressure, automated reading	UK Biobank Assessment Centre > Physical measures > Blood pressure	Primary	Unisex	NA	NA	INTEGER	CONTINUOUS	321326	NA	NA	Blood_pressure	291538	29788	NA	NA	TRUE
4080	4080	Systolic blood pressure, automated reading	UK Biobank Assessment Centre > Physical measures > Blood pressure	Primary	Unisex	NA	NA	INTEGER	CONTINUOUS	321323	NA	NA	Blood_pressure	291535	29788	NA	NA	TRUE
4194	4194	Pulse rate	UK Biobank Assessment Centre > Physical measures > Arterial stiffness	Primary	Unisex	NA	NA	INTEGER	CONTINUOUS	111611	NA	NA	Arterial_stiffness	101572	10039	NA	NA	TRUE
20074	20074	Home location at assessment - east co-ordinate (rounded)	UK Biobank Assessment Centre > Recruitment > Reception	Derived	Unisex	NA	NA	INTEGER	CONTINUOUS	337797	NA	NA	NA	NA	NA	NA	NA	FALSE
20075	20075	Home location at assessment - north co-ordinate (rounded)	UK Biobank Assessment Centre > Recruitment > Reception	Derived	Unisex	NA	NA	INTEGER	CONTINUOUS	337797	NA	NA	NA	NA	NA	NA	NA	FALSE
21001	21001	Body mass index (BMI)	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	Derived	Unisex	NA	NA	CONTINUOUS_MAIN	CONTINUOUS	339851	NA	NA	Body_size_measures	308379	31472	NA	NA	TRUE
21002	21002	Weight	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	Derived	Unisex	NA	NA	CONTINUOUS_MAIN	CONTINUOUS	339977	NA	NA	Body_size_measures	308482	31495	NA	NA	TRUE
23099	23099	Body fat percentage	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures	Derived	Unisex	NA	NA	CONTINUOUS_MAIN	CONTINUOUS	334805	NA	NA	Impedance_measures	304384	30421	NA	NA	TRUE
23100	23100	Whole body fat mass	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures	Derived	Unisex	NA	NA	CONTINUOUS_MAIN	CONTINUOUS	334444	NA	NA	Impedance_measures	304058	30386	NA	NA	TRUE
23101	23101	Whole body fat-free mass	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures	Derived	Unisex	NA	NA	CONTINUOUS_MAIN	CONTINUOUS	334978	NA	NA	Impedance_measures	304545	30433	NA	NA	TRUE
23102	23102	Whole body water mass	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures	Derived	Unisex	NA	NA	CONTINUOUS_MAIN	CONTINUOUS	335007	NA	NA	Impedance_measures	304569	30438	NA	NA	TRUE
23105	23105	Basal metabolic rate	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures	Derived	Unisex	NA	NA	CONTINUOUS_MAIN	CONTINUOUS	335000	NA	NA	Impedance_measures	304564	30436	NA	NA	TRUE
40001_C349	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	C34.9 Bronchus or lung, unspecified	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	1033	7514	NA	NA	NA	NA	NA	FALSE
40001_A419	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	A41.9 Septicaemia, unspecified	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	16	8531	NA	NA	NA	NA	NA	FALSE
40001_A810	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	A81.0 Creutzfeldt-Jakob disease	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	14	8533	NA	NA	NA	NA	NA	FALSE
40001_C029	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	C02.9 Tongue, unspecified	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	12	8535	NA	NA	NA	NA	NA	FALSE
40001_C109	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	C10.9 Oropharynx, unspecified	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	11	8536	NA	NA	NA	NA	NA	FALSE
40001_C159	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	C15.9 Oesophagus, unspecified	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	274	8273	NA	NA	NA	NA	NA	FALSE
40001_C160	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	C16.0 Cardia	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	26	8521	NA	NA	NA	NA	NA	FALSE
40001_C169	40001	Underlying (primary) cause of death: ICD10	Health-related outcomes > Death register	Primary	Unisex	19	C16.9 Stomach, unspecified	CAT_SINGLE	CAT_SINGLE_UNORDERED	8547	112	8435	NA	NA	NA	NA	NA	FALSE
