name	exp_beta	exp_se	out_beta	out_se	exp_z	out_z	exp_pvalue	out_pvalue	exp_pvalue_FDR	out_pvalue_FDR	chrom	start_position	end_position	TSS_start	tissue	exposure	name_outcome
CELSR2	-0.000275167832165415	5.18701928445204e-06	-0.084268354897031	0.013785571638399	-53.0493173584728	-6.11279365900984	0	9.79019246192346e-10	0	9.80977284684731e-07	chr1	109792641	109818372	109792641	Liver	LDL direct (30780)	Dx
RP11-50C13.2	-4.47599549085559e-05	5.199828401953e-06	-0.0473682567228363	0.0134227066206612	-8.60796769596177	-3.52896461656426	7.46969018661421e-18	0.000417188906855127	6.23719130582287e-16	0.083151162650136	chr15	58813510	58815570	58813510	Liver	LDL direct (30780)	Dx
DNAH11	6.85353929985797e-05	5.18856525763806e-06	0.0400208540218265	0.0133982722659025	13.2089295586461	2.98701602919924	7.98297821537666e-40	0.00281714951207587	1.59978883436148e-37	0.166046106535296	chr7	21582833	21941457	21582833	Liver	LDL direct (30780)	Dx
SURF1	-5.89180951418829e-05	5.19381184197546e-06	-0.0396482904941349	0.0136273890558102	-11.3439025006099	-2.90945612044666	8.05736553232034e-30	0.00362058207183495	1.24207388667461e-27	0.186042217229673	chr9	136218610	136223552	136223551	Liver	LDL direct (30780)	Dx
TMED4	5.0387892866016e-05	5.18810749353909e-06	0.0343602813362145	0.0135409423687892	9.71219137783201	2.53751034458372	2.69436424308246e-22	0.0111644068555601	2.99972552396513e-20	0.263317843414025	chr7	44617493	44621886	44621885	Liver	LDL direct (30780)	Dx
PMPCA	-3.46344255710096e-05	5.19500680442235e-06	-0.0339107571358346	0.0135118575186872	-6.66686818225655	-2.50970357620596	2.61743090579345e-11	0.0120832544659288	1.2488884607643e-09	0.263317843414025	chr9	139305110	139318213	139305110	Liver	LDL direct (30780)	Dx
L3MBTL3	-3.02707362549099e-05	5.18926375926221e-06	-0.0329113905776787	0.01350970337508	-5.83333930576958	-2.43612977013152	5.43811848770283e-09	0.0148453576386943	1.84711685582313e-07	0.283334254361365	chr6	130334844	130462594	130334844	Liver	LDL direct (30780)	Dx
AGPAT4	-2.9084132286917e-05	5.18806430386596e-06	-0.0290104536332414	0.0135275016720232	-5.60596989232469	-2.14455369044523	2.07262618007802e-08	0.0319885483073137	6.29324676496418e-07	0.421743755314846	chr6	161551011	161695093	161695092	Liver	LDL direct (30780)	Dx
RP11-136O12.2	0.000116680728639389	5.18402512710299e-06	0.0274732655100451	0.013362692156627	22.5077475086611	2.0559678534853	4.26545859235518e-112	0.0397856148866858	2.13699475476994e-109	0.471777350490641	chr8	126479181	126553615	126479181	Liver	LDL direct (30780)	Dx
GALK1	-2.88333304518459e-05	5.19222209090444e-06	-0.0271954805257723	0.0135238038045902	-5.55317741557226	-2.01093426958336	2.80745927544637e-08	0.0443324000095	8.39723639999182e-07	0.479630571763746	chr17	73747675	73761792	73761791	Liver	LDL direct (30780)	Dx
NEK8	-3.17998210408798e-05	5.1946601192932e-06	-0.0214181633488792	0.0134587914202012	-6.12163650953291	-1.59138831119199	9.27266342502209e-10	0.111522213253458	3.44118842661931e-08	0.660139777056228	chr17	27052915	27070473	27052915	Liver	LDL direct (30780)	Dx
