name	exp_beta	exp_se	out_beta	out_se	exp_z	out_z	exp_pvalue	out_pvalue	exp_pvalue_FDR	out_pvalue_FDR	chrom	start_position	end_position	TSS_start	tissue	exposure	outcome
SLC45A1	-0.0477705968635847	0.00891153199705066	-1.04944017284599e-05	6.2684161678434e-06	-5.36053698504306	-1.67417118574473	8.29749365142027e-08	0.09409789264683	1.48594282140851e-05	0.426209143096139	chr1	8377886	8404227	8377886	DLPC_CMC	Dx	Time to complete round (400)
ALMS1P	0.0366714787448877	0.00880251948994278	1.20401976657387e-05	6.26660714251776e-06	4.16602073835636	1.92132638793458	3.09962517585041e-05	0.0546914185440842	0.00203911056211302	0.337949323493363	chr2	73872046	73912703	73872046	DLPC_CMC	Dx	Time to complete round (400)
C2orf47	-0.0666933502549054	0.00877773285615531	-2.10113708354462e-05	6.26564519112607e-06	-7.59801549532659	-3.35342493781874	3.00706332888509e-14	0.000798268846046056	2.42331716016527e-11	0.0276571933529088	chr2	200820040	200873263	200820040	DLPC_CMC	Dx	Time to complete round (400)
CNPPD1	-0.0374252499884572	0.00886668956881534	-1.71236595462985e-05	6.26357580345144e-06	-4.2208819535178	-2.73384725971748	2.43348352631584e-05	0.00626023567145633	0.00166900726533598	0.104489578360561	chr2	220036619	220042828	220042827	DLPC_CMC	Dx	Time to complete round (400)
PCCB	-0.0444600275808692	0.00894298609450803	-1.88407000285818e-05	6.26682220533924e-06	-4.97149689276298	-3.00642006606311	6.64379294053927e-07	0.00264363093817434	7.93195057178827e-05	0.0623206468586803	chr3	135969148	136056738	135969148	DLPC_CMC	Dx	Time to complete round (400)
CMAHP	-0.0422757937871139	0.00897362961828221	-1.71594193870198e-05	6.26241292264518e-06	-4.71111418516587	-2.74006514724868	2.46366143450734e-06	0.00614302535750831	0.000252114686797917	0.103287142040458	chr6	25081548	25166793	25166792	DLPC_CMC	Dx	Time to complete round (400)
HMGN4	-0.0415359268078211	0.00899138031848294	-2.72817342307885e-05	6.25893368355715e-06	-4.61952729576333	-4.35884698738067	3.84615282231955e-06	1.30788290117165e-05	0.000364649224198443	0.00144710914548992	chr6	26538633	26546482	26538633	DLPC_CMC	Dx	Time to complete round (400)
ZSCAN23	-0.0712743798465031	0.00896208203831796	-3.2116651848103e-05	6.2615063909773e-06	-7.95288187965307	-5.12922128361673	1.82222068901377e-15	2.91104497638283e-07	2.34957135641436e-12	7.68068020691777e-05	chr6	28399707	28411279	28411278	DLPC_CMC	Dx	Time to complete round (400)
CUL9	0.0385628311820332	0.0090357084252304	2.36351380882955e-05	6.26161609329815e-06	4.26782598189582	3.7746067047439	1.97387207053096e-05	0.000160287867505616	0.00138321230855577	0.00931843026346206	chr6	43149913	43192325	43149913	DLPC_CMC	Dx	Time to complete round (400)
SNAP91	0.0406372889013185	0.00894815789799814	9.72136365494482e-06	6.26524924880359e-06	4.54141392726315	1.55163238825673	5.58781988865491e-06	0.120751151972713	0.000467852919768288	0.47530718690926	chr6	84262599	84419410	84419409	DLPC_CMC	Dx	Time to complete round (400)
ZNF259P1	-0.0394145525052998	0.00888728770550307	-1.47150498217585e-05	6.25572350789544e-06	-4.43493603575972	-2.35225386850719	9.20996302845285e-06	0.0186606090077563	0.000724105263956531	0.194677484368367	chr6	109103329	109108256	109108255	DLPC_CMC	Dx	Time to complete round (400)
WBP1L	-0.0477520737652096	0.00893185864790609	-2.12030578812321e-05	6.25913300255452e-06	-5.3462639353797	-3.38753911645248	8.9788251925388e-08	0.000705307552392442	1.5644996220621e-05	0.0254653147863798	chr10	104503727	104576021	104503727	DLPC_CMC	Dx	Time to complete round (400)
NT5C2	-0.0411951594735538	0.00894900865816307	-2.34790218019948e-05	6.26068648519495e-06	-4.603320998687	-3.75023120188452	4.1580658861614e-06	0.000176701257741014	0.000386989247160697	0.0100179390752344	chr10	104845940	104953056	104953055	DLPC_CMC	Dx	Time to complete round (400)
SNX19	0.0395690835239654	0.0089739759258489	1.19631427129291e-05	6.25540156722993e-06	4.40931465059868	1.91244999771082	1.03698266960601e-05	0.0558193507638442	0.000786520855405876	0.34219905830203	chr11	130745331	130786404	130786403	DLPC_CMC	Dx	Time to complete round (400)
INO80E	0.0519096702627871	0.00892968923361018	3.75992085373191e-05	6.26415764590894e-06	5.81315529631266	6.00227686828328	6.13061381933646e-09	1.94768120352198e-09	1.46385434419489e-06	7.42282947564489e-07	chr16	30006615	30017114	30006615	DLPC_CMC	Dx	Time to complete round (400)
SPECC1	0.0351247280472344	0.00889530612360204	1.94335945821892e-05	6.25766192795269e-06	3.94868119873215	3.10556799103835	7.85829221071788e-05	0.00189929770877503	0.00398161180821879	0.0489960153953252	chr17	19912657	20222339	19912657	DLPC_CMC	Dx	Time to complete round (400)
GATAD2A	-0.0465227578600324	0.00887461275891732	-9.85310323095039e-06	6.26192108044362e-06	-5.24222961878374	-1.57349527475239	1.58647768221808e-07	0.115605124407229	2.37860967843256e-05	0.468135935308686	chr19	19496635	19619740	19496635	DLPC_CMC	Dx	Time to complete round (400)
