name	exp_beta	exp_se	out_beta	out_se	exp_z	out_z	exp_pvalue	out_pvalue	exp_pvalue_FDR	out_pvalue_FDR	chrom	start_position	end_position	TSS_start	tissue	exposure	name_outcome
MRAS	6.28703260362005e-05	1.34722070881054e-05	0.0681561318985643	0.0131549801566465	4.66666861821838	5.18101366075634	3.06122441050732e-06	2.20683327657887e-07	0.000411649649201831	0.000356109329730611	chr3	138066539	138124375	138066539	Artery_Aorta	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	Dx
GUCY1A3	-7.02871244819018e-05	1.35397816773941e-05	-0.0570541295553646	0.0134181508415637	-5.19115641275459	-4.25201134113317	2.08991962367813e-07	2.11859128757211e-05	5.05865044911293e-05	0.0170935007052277	chr4	156587863	156653501	156587863	Artery_Aorta	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	Dx
AC091133.1	5.45458479647635e-05	1.3626314527897e-05	0.0553052960258805	0.0137293519074697	4.00297878440221	4.02825249134962	6.2549913233386e-05	5.61929768163753e-05	0.00383296367041547	0.0280705459869001	chr17	47009153	47014462	47009153	Artery_Aorta	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	Dx
BCAR1	5.8727325908009e-05	1.35899643398952e-05	0.0527167696928141	0.0134989161999521	4.32137454074159	3.90525942319733	1.55060208996197e-05	9.41243562999471e-05	0.00141631409764262	0.0371701605350882	chr16	75262928	75301951	75301950	Artery_Aorta	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	Dx
ATP1B1	5.39822984397358e-05	1.35776587171275e-05	0.0475762532973663	0.0135644226337479	3.97581789057932	3.50742929367285	7.01377838337198e-05	0.000452458576442772	0.00414069526267119	0.104509604125628	chr1	169074935	169101960	169074935	Artery_Aorta	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	Dx
RNF123	5.94271905724519e-05	1.35666482906432e-05	0.0454683897325566	0.0133920991542492	4.38038853070573	3.39516525444257	1.18467883889183e-05	0.00068587188509899	0.00114700605181507	0.121052965469966	chr3	49726932	49758962	49726932	Artery_Aorta	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	Dx
AC003029.1	-6.61513145018738e-05	1.36270160713789e-05	-0.0413039286649807	0.0135466142864205	-4.85442404671502	-3.04902227166716	1.207371334105e-06	0.00229587460454989	0.000188544665432333	0.20749268172987	chr12	112277571	112279211	112279210	Artery_Aorta	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	Dx
NME7	-5.17893216187246e-05	1.35721919347803e-05	-0.0396147891389969	0.0135177223981268	-3.81584064442887	-2.93058164476631	0.00013572007708494	0.00338328075031786	0.0069895839698744	0.219077725867948	chr1	169101769	169337205	169337204	Artery_Aorta	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	Dx
ARHGAP42	-0.000107030225005139	1.36074562601756e-05	-0.0389947966595339	0.0135064685373107	-7.86555715915689	-2.88712009003786	3.67458273999922e-15	0.0038878580801634	8.89432752216811e-12	0.240605915335345	chr11	100558384	100862668	100558384	Artery_Aorta	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	Dx
VN1R51P	-5.70887112580911e-05	1.3575560533464e-05	-0.0333982889047157	0.0135551314798546	-4.20525628517262	-2.46388527874862	2.60786473806559e-05	0.0137440093959238	0.00203623761241541	0.393696742518739	chr9	99855976	99856920	99856919	Artery_Aorta	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	Dx
UBE2E3	-6.74050651128859e-05	1.36128610838783e-05	-0.0329002213461577	0.0135855334492198	-4.95157224462634	-2.42170993646533	7.36162801418693e-07	0.0154476753978342	0.000131991263765477	0.395431751092506	chr2	181831975	181941312	181831975	Artery_Aorta	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	Dx
AIF1	5.78403491023835e-05	1.35922627085529e-05	0.0302152786899384	0.0136715988351703	4.25538781456804	2.21007645515529	2.08686980974648e-05	0.0270998566097443	0.00174181668085909	0.444410793002533	chr6	31582961	31584798	31582961	Artery_Aorta	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	Dx
DCAF16	-5.45283548906632e-05	1.35894872399235e-05	-0.0294030030557433	0.0135251544979711	-4.01253954089368	-2.17394951459919	6.00690132421418e-05	0.0297089268828411	0.00372812939878472	0.45865357945093	chr4	17802278	17812381	17812380	Artery_Aorta	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	Dx
TMEM133	-6.45406567983489e-05	1.35953155424988e-05	-0.0279368453022909	0.0135724849847048	-4.74727170521313	-2.05834416717158	2.06178900708085e-06	0.0395571072394309	0.000293562370096423	0.492337964910747	chr11	100862811	100864663	100862811	Artery_Aorta	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	Dx
HIST1H2BG	-7.35676609084789e-05	1.35793227504694e-05	-0.0267279567357537	0.0135369215651748	-5.41762371072121	-1.97444866671269	6.03963587988204e-08	0.0483307489367527	1.72823052894211e-05	0.520802697580332	chr6	26216428	26216872	26216871	Artery_Aorta	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	Dx
ZNF652	-7.61552284704622e-05	1.36075271665084e-05	-0.0261232945964362	0.0134805550693239	-5.59655163929416	-1.93785007086851	2.18657214492771e-08	0.0526415169360043	1.30159943841897e-05	0.540790550625498	chr17	47366568	47439835	47439834	Artery_Aorta	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	Dx
RP11-296I10.6	-5.14701631764197e-05	1.35700479956171e-05	-0.0248479211895043	0.0133666987428564	-3.79292418074305	-1.85894226147528	0.000148883625712028	0.0630353229188874	0.00743036734094769	0.560414428500831	chr16	70253477	70279519	70279518	Artery_Aorta	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	Dx
ROCK1P1	-5.24622901794858e-05	1.36279953762598e-05	-0.0250184528063705	0.0134948371837048	-3.84959700462445	-1.85392772552903	0.000118312321470965	0.0637495007045599	0.00622554291566241	0.560414428500831	chr18	109065	122219	109065	Artery_Aorta	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	Dx
TEX14	5.31335138430085e-05	1.3574021154616e-05	0.0240676728830948	0.0135029121425417	3.91435325153738	1.78240609351727	9.06468469459864e-05	0.0746830325399721	0.00502940983043928	0.589194592460733	chr17	56634039	56769416	56769415	Artery_Aorta	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	Dx
PPP2R2D	-5.68685354823232e-05	1.35574300785152e-05	-0.0209234069099539	0.0134492138524428	-4.19463977708019	-1.5557345685416	2.7330557515963e-05	0.119771222853855	0.00210011474499646	0.675391210894518	chr10	133747955	133773331	133747955	Artery_Aorta	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	Dx
MRPL23-AS1	6.34755204035992e-05	1.35717901959187e-05	0.0193848985308536	0.0134530107835308	4.67701898476793	1.44093384319476	2.91075318887787e-06	0.149603373817007	0.000402598748210222	0.713514645230252	chr11	2004467	2011150	2011149	Artery_Aorta	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	Dx
