name	exp_beta	exp_se	out_beta	out_se	exp_z	out_z	exp_pvalue	out_pvalue	exp_pvalue_FDR	out_pvalue_FDR	chrom	start_position	end_position	TSS_start	tissue	exposure	name_outcome
LIPA	4.15547906330895e-05	5.66106909609987e-06	0.0652315119143882	0.013371260360504	7.34044929105674	4.8784864070906	2.13381565877195e-13	1.06903029824793e-06	1.76759334338272e-11	0.00190394296117957	chr10	90973326	91174314	91174313	Adipose_Visceral_Omentum	C-reactive protein (30710)	Dx
ABO	5.38827078742674e-05	5.678826084047e-06	0.0630802685272271	0.0135858014922469	9.48835324005345	4.64310247453753	2.36243734710737e-21	3.43216012546531e-06	4.00714372876022e-19	0.00407511812230248	chr9	136125788	136150617	136150616	Adipose_Visceral_Omentum	C-reactive protein (30710)	Dx
RBM6	-4.56105707356307e-05	5.67311417238885e-06	-0.055230165381844	0.0134899516285921	-8.03977662879027	-4.09417075038157	9.03071056071284e-16	4.23682002642242e-05	9.19068314778833e-14	0.0215593613344524	chr3	49977440	50137478	49977440	Adipose_Visceral_Omentum	C-reactive protein (30710)	Dx
RNF123	3.22677865842392e-05	5.66495851465181e-06	0.0458932182431237	0.0133965840115824	5.69603228351665	3.42574033824185	1.22735204544557e-08	0.000613126224458935	6.42915880276045e-07	0.114945032185407	chr3	49726932	49758962	49726932	Adipose_Visceral_Omentum	C-reactive protein (30710)	Dx
RP11-613D13.5	-3.17951669647646e-05	5.66559004206698e-06	-0.0431031515563808	0.0133946648547584	-5.6119780514802	-3.2179343062151	2.00192378579646e-08	0.00129117386871982	1.01869321785814e-06	0.158452646272499	chr11	43851259	43902276	43902275	Adipose_Visceral_Omentum	C-reactive protein (30710)	Dx
AK4	-5.59133605725997e-05	5.66449846148965e-06	-0.0381305743484696	0.013433470842473	-9.87084045528996	-2.83847523812766	5.61210156822837e-23	0.00453296363289068	1.17590034035467e-20	0.214719530545744	chr1	65613232	65697828	65613232	Adipose_Visceral_Omentum	C-reactive protein (30710)	Dx
HYAL2	4.32315558478486e-05	5.67508249968526e-06	0.0332028430362096	0.0135039410999797	7.61778456088458	2.45875206285219	2.58772935788776e-14	0.0139420866295029	2.42565578231479e-12	0.344873003988121	chr3	50355221	50360337	50360336	Adipose_Visceral_Omentum	C-reactive protein (30710)	Dx
TOMM7	3.56930417033556e-05	5.66292604731715e-06	0.0306509501221238	0.0135475553557945	6.30293268976476	2.26247092683137	2.92445823270267e-10	0.0236683231191787	1.92905930090499e-08	0.434569932734611	chr7	22852251	22862470	22862469	Adipose_Visceral_Omentum	C-reactive protein (30710)	Dx
RP11-73O6.3	-5.62137320578945e-05	5.66588986034316e-06	-0.0292327508613333	0.0135686898429876	-9.92143042725682	-2.15442693433228	3.38523338739271e-23	0.0312067062166435	7.53637582868302e-21	0.48152474502102	chr6	130454555	130465515	130465514	Adipose_Visceral_Omentum	C-reactive protein (30710)	Dx
RP11-350G8.9	-0.000181250356551316	5.65918828165441e-06	-0.0239393584063009	0.0135738691307567	-32.0276243748386	-1.76363556887824	1.02749086634511e-224	0.0777933552400773	3.6599224659213e-221	0.598762132477795	chr1	154452488	154453977	154452488	Adipose_Visceral_Omentum	C-reactive protein (30710)	Dx
STARD10	4.04470671985078e-05	5.67114913270673e-06	0.0221243828024387	0.0134726359021846	7.13207610169179	1.64217180387479	9.90750084468392e-13	0.100554404313878	7.84233733528092e-11	0.646524888386345	chr11	72465774	72504726	72504725	Adipose_Visceral_Omentum	C-reactive protein (30710)	Dx
