name	exp_beta	exp_se	out_beta	out_se	exp_z	out_z	exp_pvalue	out_pvalue	exp_pvalue_FDR	out_pvalue_FDR	chrom	start_position	end_position	TSS_start	tissue	exposure	name_outcome
ATP1B1	5.39822984397358e-05	1.35776587171275e-05	7.49524901776698e-05	2.47972288918954e-05	3.97581789057932	3.02261557145875	7.01377838337198e-05	0.00250600371155075	0.00414069526267119	0.106417227786115	chr1	169074935	169101960	169074935	Artery_Aorta	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	CAD_HARD
NME7	-5.17893216187246e-05	1.35721919347803e-05	-9.74308760291816e-05	2.47592899726143e-05	-3.81584064442887	-3.93512399333533	0.00013572007708494	8.31537547879979e-05	0.0069895839698744	0.0143413679042269	chr1	169101769	169337205	169337204	Artery_Aorta	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	CAD_HARD
UBE2E3	-6.74050651128859e-05	1.36128610838783e-05	-7.2985385133978e-05	2.48554521792304e-05	-4.95157224462634	-2.93639337589544	7.36162801418693e-07	0.0033205294922753	0.000131991263765477	0.12757685136591	chr2	181831975	181941312	181831975	Artery_Aorta	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	CAD_HARD
RNF123	5.94271905724519e-05	1.35666482906432e-05	5.48011090122842e-05	2.47781544977838e-05	4.38038853070573	2.21167032505127	1.18467883889183e-05	0.0269894523497184	0.00114700605181507	0.340661803275466	chr3	49726932	49758962	49726932	Artery_Aorta	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	CAD_HARD
PCCB	6.9403425294946e-05	1.36262448686387e-05	9.44658043682893e-05	2.49323130374423e-05	5.09336401657369	3.78889051434676	3.5176537803562e-07	0.00015132158046123	7.09540081279349e-05	0.0200290743813	chr3	135969148	136056738	135969148	Artery_Aorta	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	CAD_HARD
ESYT3	5.475989691876e-05	1.35585715583398e-05	6.30449685982238e-05	2.47287771257729e-05	4.03876593364863	2.549457592568	5.37331508029131e-05	0.0107890631845508	0.00342266030311714	0.223204508018847	chr3	138153428	138200528	138153428	Artery_Aorta	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	CAD_HARD
GUCY1A3	-7.02871244819018e-05	1.35397816773941e-05	-9.16398829020068e-05	2.46470813414932e-05	-5.19115641275459	-3.71808254422936	2.08991962367813e-07	0.000200740682941691	5.05865044911293e-05	0.0220860374118347	chr4	156587863	156653501	156587863	Artery_Aorta	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	CAD_HARD
BAG6	7.60091319158109e-05	1.35565316211696e-05	5.96325067230158e-05	2.47757627414567e-05	5.60682732426313	2.4068888350805	2.06069065126082e-08	0.0160890664231965	1.30159943841897e-05	0.263443769591542	chr6	31606805	31620482	31620481	Artery_Aorta	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	CAD_HARD
AC004917.1	8.34014025621154e-05	1.34627432364447e-05	7.71773245515988e-05	2.45059142009815e-05	6.19497832628503	3.14933464300253	5.82930510431344e-10	0.00163642688349093	7.05491650249534e-07	0.0825202348227041	chr7	106300345	106301342	106301341	Artery_Aorta	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	CAD_HARD
FAM66D	-6.89337058457216e-05	1.35785396763378e-05	-4.36766498139838e-05	2.47813167672417e-05	-5.07666564217112	-1.76248301186803	3.84115941786901e-07	0.0779877241544159	7.43802109676156e-05	0.517176126892503	chr8	11973291	12008698	11973291	Artery_Aorta	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	CAD_HARD
HSD17B12	-6.22869549389928e-05	1.35423507200012e-05	-4.56928545120102e-05	2.47297688482772e-05	-4.59941971869025	-1.84768627609689	4.2366942197522e-06	0.0646477404612807	0.0005397325452058	0.487060042176001	chr11	43577986	43878167	43577986	Artery_Aorta	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	CAD_HARD
ARHGAP42	-0.000107030225005139	1.36074562601756e-05	-0.000133185717486362	2.49013208833373e-05	-7.86555715915689	-5.34854026862018	3.67458273999922e-15	8.86664497655767e-08	8.89432752216811e-12	4.76926981461286e-05	chr11	100558384	100862668	100558384	Artery_Aorta	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	CAD_HARD
OAF	5.66779768038334e-05	1.35609493356099e-05	7.4955220253663e-05	2.47291909568943e-05	4.17949919295117	3.03104215517273	2.92151756414155e-05	0.00243711219618742	0.00214434929799974	0.106288830105796	chr11	120081475	120101041	120081475	Artery_Aorta	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	CAD_HARD
LIMA1	6.15419903662864e-05	1.37071058586923e-05	4.63329408134705e-05	2.50968646041783e-05	4.48978734101334	1.8461645127478	7.12943147717341e-06	0.0648683219551361	0.000821751851928487	0.487060042176001	chr12	50569571	50677329	50677328	Artery_Aorta	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	CAD_HARD
OIP5-AS1	5.14864159584742e-05	1.35240262962864e-05	5.438196052545e-05	2.46502415059445e-05	3.80703311502817	2.20614311272916	0.000140643918853555	0.0273739808870391	0.0071669180123164	0.340661803275466	chr15	41576188	41601901	41576188	Artery_Aorta	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	CAD_HARD
BCAR1	5.8727325908009e-05	1.35899643398952e-05	9.76857228377885e-05	2.48793832006461e-05	4.32137454074159	3.92637237225607	1.55060208996197e-05	8.62366166866918e-05	0.00141631409764262	0.0143413679042269	chr16	75262928	75301951	75301950	Artery_Aorta	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	CAD_HARD
SNF8	6.10353757978677e-05	1.36242956493734e-05	8.67937235171962e-05	2.49377755140954e-05	4.47989219910058	3.48041161362362	7.46807473697739e-06	0.000500643980915524	0.000840766274458315	0.0440657729384009	chr17	47006678	47022479	47022478	Artery_Aorta	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	CAD_HARD
ZNF652	-7.61552284704622e-05	1.36075271665084e-05	-0.000107313637664545	2.49015078982603e-05	-5.59655163929416	-4.30952366832543	2.18657214492771e-08	1.63606549182153e-05	1.30159943841897e-05	0.00440010724772668	chr17	47366568	47439835	47439834	Artery_Aorta	Diagnoses - ICD10 : I10 Essential (primary) hypertension (41270_I10)	CAD_HARD
