name	exp_beta	exp_se	out_beta	out_se	exp_z	out_z	exp_pvalue	out_pvalue	exp_pvalue_FDR	out_pvalue_FDR	chrom	start_position	end_position	TSS_start	tissue	exposure	name_outcome
DSTYK	-3.13300643473919e-05	6.44326875867927e-06	-0.0197565223534071	0.00888750783335402	-4.8624487850502	-2.22295414235954	1.15996541036922e-06	0.0262188923402421	3.59287987497479e-05	0.242838793100929	chr1	205111632	205180727	205180726	Brain_Nucleus_accumbens_basal_ganglia	Aspartate aminotransferase (30650)	Dx
U91328.19	-3.23079059271469e-05	6.43543541252265e-06	-0.0205624635877764	0.00891380412789885	-5.0203139113601	-2.30681124385704	5.16143595788174e-07	0.0210653451545096	1.73380630416168e-05	0.218817532681533	chr6	25992890	26002003	25992890	Brain_Nucleus_accumbens_basal_ganglia	Aspartate aminotransferase (30650)	Dx
ZNF391	-3.08160181466276e-05	6.44752204936551e-06	-0.041759744557155	0.00886002215526829	-4.7795134178192	-4.71327766740674	1.75796770481763e-06	2.43763670582677e-06	5.30728224808868e-05	0.000311300546373524	chr6	27342394	27371683	27342394	Brain_Nucleus_accumbens_basal_ganglia	Aspartate aminotransferase (30650)	Dx
RP5-874C20.3	4.37183097040095e-05	6.43882803713383e-06	0.0614713801793224	0.00896488797764012	6.78979302628964	6.85690444014939	1.12486651141763e-11	7.03686671823369e-12	6.23908518542104e-10	2.54617294088089e-09	chr6	28234788	28245974	28234788	Brain_Nucleus_accumbens_basal_ganglia	Aspartate aminotransferase (30650)	Dx
HLA-U	5.2490054411073e-05	6.44325358149022e-06	0.0378115632578437	0.00887657017010374	8.14651382988606	4.25970420255258	3.75878470136015e-16	2.04697615277715e-05	3.73529229697665e-14	0.0019321674902953	chr6	29901878	29902063	29901878	Brain_Nucleus_accumbens_basal_ganglia	Aspartate aminotransferase (30650)	Dx
HLA-C	-6.18228161575133e-05	6.45464489991075e-06	-0.0263999040079017	0.00891874603276293	-9.57803521590601	-2.96004661540108	9.95665192444706e-22	0.00307592496359068	2.96832685497578e-19	0.0748969357325851	chr6	31236526	31239907	31239906	Brain_Nucleus_accumbens_basal_ganglia	Aspartate aminotransferase (30650)	Dx
C6orf25	-2.98217681763535e-05	6.44417244422278e-06	-0.0239674455216831	0.00889781220246046	-4.62771107298483	-2.69363355579201	3.69872141740188e-06	0.00706778227950402	0.000107974977814879	0.113660409842987	chr6	31686371	31694491	31686371	Brain_Nucleus_accumbens_basal_ganglia	Aspartate aminotransferase (30650)	Dx
XXbac-BPG300A18.13	-0.000102322259487468	6.44370522994101e-06	-0.0778251354498971	0.00913763910227569	-15.8794134486509	-8.51698503068643	9.24536250671185e-57	1.6376065693317e-17	7.35006319283592e-54	3.55524386201913e-14	chr6	32152516	32153659	32153658	Brain_Nucleus_accumbens_basal_ganglia	Aspartate aminotransferase (30650)	Dx
AC083862.6	-2.86526031521301e-05	6.44565307824669e-06	-0.0239653342331297	0.00888967881386375	-4.44525989908288	-2.69586052937649	8.78147426109954e-06	0.0070207055913321	0.000232709067919138	0.113660409842987	chr7	134813196	134814437	134813196	Brain_Nucleus_accumbens_basal_ganglia	Aspartate aminotransferase (30650)	Dx
TDH	-5.2694581323851e-05	6.4448120169797e-06	-0.0193049863506696	0.00890709132628527	-8.17627902645108	-2.16737267459015	2.93784343919523e-16	0.0302064490985931	3.06671275504818e-14	0.261649382703837	chr8	11197146	11225961	11197146	Brain_Nucleus_accumbens_basal_ganglia	Aspartate aminotransferase (30650)	Dx
TSPAN15	-4.77243727250716e-05	6.43850317854213e-06	-0.0146790458658554	0.00894689695602085	-7.41233970096102	-1.64068569672942	1.24390062680531e-13	0.100862675527124	8.47629427123048e-12	0.458986125564235	chr10	71211229	71267425	71211229	Brain_Nucleus_accumbens_basal_ganglia	Aspartate aminotransferase (30650)	Dx
CWF19L1	-0.000107311259039584	6.43629926946115e-06	-0.0144140472948398	0.00893063763160066	-16.6728199772737	-1.61399979368061	2.19386868986165e-62	0.106527471038901	2.61618841266002e-59	0.471981917602967	chr10	101992055	102027437	102027436	Brain_Nucleus_accumbens_basal_ganglia	Aspartate aminotransferase (30650)	Dx
ANO5	-6.02813979460327e-05	6.43410969639737e-06	-0.0192567946643703	0.00896322865474067	-9.36903484561133	-2.14842166881298	7.36449066913635e-21	0.0316802729253781	1.75643102458902e-18	0.263092067365118	chr11	22214722	22304903	22214722	Brain_Nucleus_accumbens_basal_ganglia	Aspartate aminotransferase (30650)	Dx
BDNF	2.83787830276737e-05	6.44246427722302e-06	0.0313373718298263	0.0090086460986183	4.40495776251417	3.47858840127293	1.05838327146775e-05	0.000504062150801837	0.000274374358962019	0.0223330393753222	chr11	27676440	27743605	27743604	Brain_Nucleus_accumbens_basal_ganglia	Aspartate aminotransferase (30650)	Dx
