name	exp_beta	exp_se	out_beta	out_se	exp_z	out_z	exp_pvalue	out_pvalue	exp_pvalue_FDR	out_pvalue_FDR	chrom	start_position	end_position	TSS_start	tissue	exposure	name_outcome
PCSK9	5.17693948011794e-05	5.19757098601868e-06	6.8290933035158e-05	2.48329060621197e-05	9.96030548508864	2.75001777336602	2.29161045178712e-23	0.00595920323157911	3.06159156358759e-21	0.163592373644994	chr1	55505221	55530525	55505221	Liver	LDL direct (30780)	CAD_HARD
PRMT6	-3.34122419606981e-05	5.19042625088985e-06	-5.50539705513505e-05	2.47000875362189e-05	-6.43728286380524	-2.22889779117674	1.21802981768686e-10	0.0258207061277137	5.30637337966188e-09	0.349169906442438	chr1	107599267	107601916	107599267	Liver	LDL direct (30780)	CAD_HARD
SORT1	-0.000275327484961175	5.18813841299722e-06	-0.000255449761225708	2.56545385260077e-05	-53.0686467946634	-9.95729316926675	0	2.34356535914031e-23	0	2.34825248985859e-20	chr1	109852192	109940573	109940572	Liver	LDL direct (30780)	CAD_HARD
RP4-781K5.6	-4.5845409841385e-05	5.19393591836187e-06	-4.64102941683718e-05	2.477567941352e-05	-8.82671841970747	-1.87321983763827	1.08319511960738e-18	0.0610380340510489	1.0853615098466e-16	0.519811818048751	chr1	234805269	234831900	234831899	Liver	LDL direct (30780)	CAD_HARD
BMPR2	3.54972143381802e-05	5.19679262017646e-06	6.72130113643642e-05	2.47451155030942e-05	6.83060051316324	2.71621328079716	8.47106193024057e-12	0.00660333635426247	4.35282259184669e-10	0.171858260440805	chr2	203241659	203432474	203241659	Liver	LDL direct (30780)	CAD_HARD
VARS2	3.31242563830614e-05	5.19891041060261e-06	4.98293307810947e-05	2.48108645358724e-05	6.37138434151666	2.00836737103819	1.87583757446144e-10	0.0446042675404723	7.83162187337653e-09	0.444711204731873	chr6	30876019	30894236	30876019	Liver	LDL direct (30780)	CAD_HARD
AGPAT4	-2.9084132286917e-05	5.18806430386596e-06	-8.6150218917711e-05	2.46081735498869e-05	-5.60596989232469	-3.50087822418283	2.07262618007802e-08	0.000463727689544811	6.29324676496418e-07	0.0442528709451334	chr6	161551011	161695093	161695092	Liver	LDL direct (30780)	CAD_HARD
DNAH11	6.85353929985797e-05	5.18856525763806e-06	4.71994368279853e-05	2.4707321587587e-05	13.2089295586461	1.91034210894387	7.98297821537666e-40	0.0560891793589785	1.59978883436148e-37	0.501268180499905	chr7	21582833	21941457	21582833	Liver	LDL direct (30780)	CAD_HARD
RP11-136O12.2	0.000116680728639389	5.18402512710299e-06	0.00012718619625614	2.45978706173109e-05	22.5077475086611	5.1706181496309	4.26545859235518e-112	2.33320899543523e-07	2.13699475476994e-109	6.67964403836028e-05	chr8	126479181	126553615	126479181	Liver	LDL direct (30780)	CAD_HARD
SEC16A	3.4179012293551e-05	5.19684132552972e-06	5.63461858218267e-05	2.49042881798563e-05	6.57688202363329	2.26250938853985	4.81153847312353e-11	0.0236659494404639	2.19143706821353e-09	0.3487247255786	chr9	139334549	139372141	139372140	Liver	LDL direct (30780)	CAD_HARD
RP11-50C13.2	-4.47599549085559e-05	5.199828401953e-06	-4.71411386081915e-05	2.47434182379268e-05	-8.60796769596177	-1.9051991182016	7.46969018661421e-18	0.056754192795095	6.23719130582287e-16	0.501268180499905	chr15	58813510	58815570	58813510	Liver	LDL direct (30780)	CAD_HARD
NEK8	-3.17998210408798e-05	5.1946601192932e-06	-5.39497758538057e-05	2.50857044646842e-05	-6.12163650953291	-2.1506183304422	9.27266342502209e-10	0.031506337292208	3.44118842661931e-08	0.390841306095452	chr17	27052915	27070473	27052915	Liver	LDL direct (30780)	CAD_HARD
TBKBP1	-5.76846321567072e-05	5.2009041738618e-06	-6.34097870747138e-05	2.48856703847049e-05	-11.0912699462169	-2.54804415932819	1.39988964992355e-28	0.010832875744655	2.00384204174771e-26	0.238428875112384	chr17	45771447	45789416	45771447	Liver	LDL direct (30780)	CAD_HARD
